appointment_id,listing_id,client_id,agent_employee_id,appointment_datetime,appointment_type,outcome
121,629,242,50,2021-05-28 15:00:00,showing,completed
122,753,373,68,2023-07-15 10:30:00,showing,completed
123,831,285,59,2024-02-07 11:30:00,showing,completed
124,244,884,62,2024-09-22 10:00:00,showing,completed
125,600,710,69,2021-05-30 14:30:00,showing,completed
126,112,878,13,2022-01-11 12:30:00,showing,follow-up needed
127,94,504,62,2022-10-23 11:30:00,consultation,follow-up needed
128,721,845,49,2021-03-07 10:00:00,follow-up,follow-up needed
129,491,417,52,2023-06-07 14:00:00,consultation,cancelled
130,436,698,17,2022-09-24 16:30:00,showing,completed
131,457,231,31,2022-11-05 17:30:00,showing,follow-up needed
132,123,524,55,2023-10-18 12:30:00,showing,follow-up needed
133,596,944,11,2021-11-08 10:00:00,showing,completed
134,77,709,57,2024-12-20 17:00:00,showing,completed
135,653,123,4,2022-05-22 14:00:00,showing,follow-up needed
136,383,369,24,2024-02-22 14:30:00,follow-up,follow-up needed
137,760,861,1,2022-05-20 11:00:00,showing,follow-up needed
138,215,191,37,2022-01-09 12:30:00,showing,completed
139,213,330,41,2021-07-19 16:30:00,consultation,completed
140,203,622,63,2023-04-30 16:00:00,showing,completed
141,919,71,36,2023-11-29 16:30:00,consultation,completed
142,334,318,23,2021-05-17 16:30:00,showing,cancelled
143,204,929,37,2023-07-22 15:30:00,consultation,follow-up needed
144,467,133,48,2022-02-05 14:30:00,showing,completed
145,468,875,34,2024-02-06 11:00:00,showing,completed
146,419,227,20,2023-08-07 12:00:00,consultation,completed
147,195,835,25,2025-01-09 17:30:00,showing,follow-up needed
148,700,615,2,2024-12-12 16:00:00,showing,follow-up needed
149,203,622,63,2023-01-31 11:00:00,consultation,follow-up needed
150,162,264,7,2021-10-12 11:30:00,showing,completed
151,621,939,50,2022-12-27 13:30:00,follow-up,completed
152,890,783,28,2023-07-02 16:30:00,showing,completed
153,977,164,72,2024-05-18 16:00:00,showing,follow-up needed
154,607,293,2,2024-07-20 14:30:00,showing,completed
155,33,714,26,2024-08-16 10:30:00,follow-up,follow-up needed
156,537,671,4,2023-06-18 10:00:00,showing,completed
157,202,123,16,2022-05-08 14:00:00,showing,completed
158,173,355,57,2024-11-26 14:00:00,follow-up,completed
159,326,583,16,2022-05-03 14:30:00,showing,completed
160,613,796,38,2022-11-13 14:30:00,showing,completed
161,932,929,2,2023-09-22 17:30:00,showing,follow-up needed
162,685,366,41,2023-03-08 15:30:00,showing,follow-up needed
163,986,65,65,2024-03-24 12:00:00,showing,cancelled
164,651,223,48,2023-10-02 15:30:00,showing,completed
165,387,774,50,2023-09-05 17:30:00,showing,completed
166,955,699,44,2021-08-24 10:30:00,consultation,follow-up needed
167,785,606,65,2023-07-09 15:00:00,showing,completed
168,597,959,6,2023-11-22 10:30:00,follow-up,cancelled
169,677,50,56,2023-07-19 13:30:00,follow-up,follow-up needed
170,797,675,35,2024-04-07 16:30:00,showing,completed
171,295,726,18,2023-08-04 12:30:00,showing,follow-up needed
172,753,723,68,2023-09-26 14:00:00,showing,follow-up needed
173,666,838,32,2021-11-01 16:30:00,showing,completed
174,457,318,31,2023-03-31 15:00:00,showing,completed
175,53,35,51,2022-01-07 10:30:00,showing,completed
176,86,638,22,2023-08-05 12:00:00,showing,completed
177,441,754,63,2022-07-22 12:30:00,showing,follow-up needed
178,291,574,25,2023-09-24 17:30:00,showing,cancelled
179,903,388,59,2022-03-25 17:30:00,follow-up,follow-up needed
180,551,225,39,2021-05-07 12:30:00,showing,completed
181,853,437,47,2023-11-29 11:30:00,consultation,follow-up needed
182,340,495,62,2021-09-03 11:00:00,consultation,completed
183,674,876,72,2023-05-02 14:00:00,showing,cancelled
184,279,625,19,2022-08-20 15:30:00,consultation,completed
185,97,718,50,2023-07-17 16:00:00,showing,follow-up needed
186,531,840,18,2023-08-16 10:00:00,showing,completed
187,789,40,70,2024-03-20 16:30:00,showing,completed
188,11,743,45,2023-04-06 12:00:00,showing,completed
189,279,336,19,2022-05-27 12:30:00,showing,completed
190,693,758,16,2023-08-16 10:30:00,showing,cancelled
191,380,775,55,2022-04-18 12:30:00,showing,completed
192,144,375,30,2024-06-14 12:30:00,showing,completed
193,542,545,14,2021-07-15 12:00:00,showing,completed
194,775,559,31,2024-06-02 10:00:00,showing,completed
195,943,886,57,2021-07-08 14:00:00,follow-up,completed
196,877,798,29,2022-08-01 15:00:00,showing,completed
197,857,606,63,2022-11-24 15:30:00,consultation,completed
198,20,721,69,2023-07-23 10:30:00,showing,completed
199,232,394,1,2022-01-15 15:00:00,showing,follow-up needed
200,478,904,25,2023-09-29 14:00:00,showing,follow-up needed
201,705,282,5,2024-06-21 12:00:00,showing,completed
202,94,7,62,2023-01-15 13:30:00,showing,cancelled
203,577,296,25,2021-12-12 15:30:00,showing,completed
204,692,643,67,2024-05-14 10:30:00,showing,follow-up needed
205,834,216,48,2022-03-18 14:30:00,showing,cancelled
206,863,745,64,2024-03-02 17:30:00,showing,completed
207,962,915,48,2024-05-13 13:00:00,showing,follow-up needed
208,765,271,48,2023-05-30 12:00:00,follow-up,completed
209,916,657,13,2024-01-10 17:30:00,showing,completed
210,8,322,26,2021-06-18 17:00:00,follow-up,completed
211,362,741,36,2023-01-25 17:30:00,showing,follow-up needed
212,5,632,46,2022-05-07 13:30:00,follow-up,completed
213,394,946,27,2024-09-18 12:30:00,follow-up,completed
214,382,188,58,2021-12-14 10:00:00,showing,completed
215,529,925,55,2022-08-28 16:00:00,follow-up,cancelled
216,558,608,59,2023-07-22 17:30:00,showing,follow-up needed
217,545,741,19,2021-08-09 10:00:00,showing,follow-up needed
218,969,525,65,2024-04-02 16:00:00,showing,completed
219,192,811,33,2024-10-03 14:30:00,showing,follow-up needed
220,755,531,67,2022-10-30 13:00:00,showing,cancelled
221,166,544,19,2024-08-29 13:30:00,showing,follow-up needed
222,452,455,28,2024-10-20 12:30:00,showing,completed
223,770,227,61,2024-10-14 13:30:00,showing,follow-up needed
224,724,981,30,2021-12-15 14:00:00,showing,completed
225,524,990,40,2024-06-20 11:00:00,follow-up,follow-up needed
226,631,139,34,2024-10-17 17:30:00,showing,follow-up needed
227,541,508,67,2021-09-19 14:00:00,showing,completed
228,258,75,47,2022-12-29 15:00:00,showing,cancelled
229,21,677,18,2024-05-05 14:30:00,consultation,completed
230,399,621,23,2024-02-11 14:30:00,showing,completed
231,594,139,31,2022-11-22 10:00:00,showing,completed
232,5,1000,46,2022-06-03 15:00:00,showing,cancelled
233,730,831,49,2025-03-02 13:30:00,consultation,completed
234,935,610,69,2024-08-20 11:00:00,showing,completed
235,431,993,5,2021-05-25 15:00:00,showing,follow-up needed
236,588,845,21,2023-05-24 11:00:00,consultation,completed
237,565,774,51,2022-01-10 17:30:00,showing,completed
238,329,96,21,2021-11-10 16:30:00,showing,completed
239,776,13,46,2023-05-25 12:00:00,consultation,follow-up needed
240,236,584,15,2023-08-19 15:30:00,showing,follow-up needed
241,266,320,69,2023-10-26 12:30:00,consultation,follow-up needed
242,861,122,15,2022-09-15 14:30:00,follow-up,completed
243,244,867,62,2024-08-03 14:30:00,showing,follow-up needed
244,693,886,16,2023-08-02 10:00:00,consultation,follow-up needed
245,789,120,70,2023-11-28 16:30:00,showing,cancelled
246,122,646,35,2021-03-07 14:00:00,showing,completed
247,613,575,38,2022-10-29 13:30:00,showing,completed
248,637,303,23,2024-05-05 13:00:00,showing,cancelled
249,717,255,44,2021-06-06 11:00:00,showing,completed
250,589,708,67,2021-07-29 17:00:00,showing,completed
251,936,665,32,2021-08-12 12:00:00,follow-up,completed
252,97,481,50,2023-06-23 10:00:00,showing,follow-up needed
253,408,460,34,2022-04-19 12:00:00,showing,follow-up needed
254,88,635,26,2024-05-27 11:00:00,showing,follow-up needed
255,913,981,57,2021-08-10 13:00:00,showing,follow-up needed
256,243,492,44,2022-12-13 10:00:00,follow-up,cancelled
257,409,953,1,2023-08-28 16:30:00,showing,cancelled
258,115,326,28,2023-12-04 16:00:00,showing,completed
259,33,321,26,2024-08-25 10:30:00,follow-up,completed
260,835,577,61,2022-06-15 11:00:00,showing,follow-up needed
261,753,662,68,2023-07-25 11:30:00,showing,completed
262,396,789,64,2022-10-24 15:30:00,consultation,follow-up needed
263,643,646,15,2024-06-27 14:00:00,showing,follow-up needed
264,424,149,3,2022-08-26 14:30:00,showing,completed
265,217,874,66,2021-11-05 13:00:00,showing,cancelled
266,172,572,60,2023-03-03 10:30:00,showing,completed
267,798,613,26,2024-01-08 16:00:00,follow-up,completed
268,924,591,30,2022-10-04 15:30:00,consultation,completed
269,759,540,2,2022-01-14 15:00:00,follow-up,cancelled
270,702,176,24,2024-11-24 10:00:00,showing,completed
271,129,221,3,2022-01-21 17:30:00,follow-up,follow-up needed
272,407,183,1,2024-10-16 10:30:00,showing,cancelled
273,228,909,63,2021-05-24 15:30:00,showing,follow-up needed
274,36,177,59,2024-07-07 11:30:00,follow-up,follow-up needed
275,677,82,56,2023-06-22 10:30:00,follow-up,follow-up needed
276,274,268,52,2024-01-26 16:30:00,showing,follow-up needed
277,405,657,26,2023-09-10 11:00:00,consultation,follow-up needed
278,513,942,47,2022-06-17 16:30:00,showing,completed
279,950,769,69,2023-01-27 11:00:00,showing,cancelled
280,985,110,66,2021-11-15 14:00:00,showing,completed
281,319,932,64,2024-03-26 15:00:00,showing,completed
282,626,819,34,2024-08-25 14:30:00,showing,completed
283,533,492,60,2022-10-27 10:30:00,follow-up,follow-up needed
284,46,221,6,2022-03-07 13:30:00,showing,follow-up needed
285,449,751,41,2023-10-08 13:30:00,consultation,completed
286,53,684,51,2022-01-21 12:30:00,showing,cancelled
287,308,288,6,2023-01-10 16:00:00,showing,follow-up needed
288,694,635,12,2024-01-24 17:00:00,showing,completed
289,950,48,69,2023-03-20 13:30:00,follow-up,completed
290,969,311,65,2024-03-23 11:30:00,consultation,completed
291,765,573,48,2023-09-12 17:00:00,showing,completed
292,913,714,57,2021-08-03 10:30:00,showing,completed
293,938,845,35,2023-08-16 16:00:00,showing,completed
294,313,639,19,2022-03-17 17:00:00,showing,completed
295,359,388,64,2024-04-08 17:30:00,follow-up,completed
296,900,840,3,2025-02-20 13:00:00,showing,cancelled
297,655,953,28,2024-02-14 11:00:00,showing,completed
298,627,220,44,2024-05-11 15:30:00,showing,follow-up needed
299,426,707,34,2021-12-19 12:30:00,showing,completed
300,774,593,61,2023-04-10 14:00:00,showing,follow-up needed
301,188,978,69,2022-11-22 10:30:00,showing,completed
302,495,906,52,2024-01-08 11:30:00,showing,completed
303,646,605,46,2022-07-15 15:30:00,showing,follow-up needed
304,73,893,65,2025-03-14 17:30:00,showing,completed
305,428,610,53,2024-04-03 14:00:00,follow-up,completed
306,533,486,60,2022-10-16 17:30:00,showing,completed
307,22,154,51,2023-03-20 12:00:00,showing,completed
308,355,408,65,2024-10-29 12:30:00,showing,follow-up needed
309,764,438,37,2021-11-24 16:00:00,follow-up,follow-up needed
310,416,491,17,2022-07-27 14:00:00,showing,completed
311,709,349,29,2024-02-23 12:30:00,showing,completed
312,404,317,28,2021-06-26 11:30:00,consultation,completed
313,709,176,29,2024-03-01 14:30:00,follow-up,completed
314,267,672,71,2021-06-27 12:00:00,showing,cancelled
315,562,528,65,2021-12-27 15:30:00,showing,follow-up needed
316,487,67,16,2023-11-03 17:00:00,follow-up,completed
317,360,177,71,2021-02-25 16:00:00,showing,completed
318,798,652,26,2023-07-01 12:00:00,showing,completed
319,936,116,32,2021-06-15 17:00:00,consultation,completed
320,931,380,26,2022-09-16 10:00:00,showing,follow-up needed
321,422,196,25,2024-11-22 16:00:00,showing,completed
322,368,498,34,2023-07-23 16:30:00,showing,completed
323,855,284,34,2021-06-17 17:00:00,showing,completed
324,430,574,21,2023-01-02 12:30:00,follow-up,follow-up needed
325,933,303,47,2024-01-12 12:00:00,follow-up,completed
326,628,116,55,2025-01-20 15:30:00,consultation,completed
327,721,207,49,2021-02-15 10:00:00,showing,completed
328,126,186,18,2021-10-12 12:00:00,showing,completed
329,729,798,5,2024-07-26 17:00:00,showing,follow-up needed
330,856,899,56,2022-07-18 12:30:00,showing,follow-up needed
331,440,993,40,2022-08-05 16:30:00,showing,completed
332,714,90,65,2024-04-25 17:00:00,showing,cancelled
333,965,86,53,2023-08-09 15:00:00,showing,completed
334,859,460,4,2023-07-17 11:30:00,showing,completed
335,992,633,10,2024-08-01 12:30:00,consultation,completed
336,610,31,51,2022-07-06 11:30:00,showing,follow-up needed
337,515,751,70,2023-01-07 16:00:00,showing,follow-up needed
338,339,231,72,2021-06-23 15:00:00,consultation,follow-up needed
339,651,936,48,2023-09-17 10:00:00,showing,cancelled
340,480,346,59,2022-11-05 10:00:00,showing,cancelled
341,675,302,14,2022-09-26 11:30:00,showing,completed
342,740,284,4,2022-02-08 15:00:00,follow-up,completed
343,907,345,43,2023-08-19 17:30:00,follow-up,follow-up needed
344,31,309,27,2023-12-24 11:30:00,showing,completed
345,88,520,26,2024-09-07 15:30:00,showing,follow-up needed
346,370,278,2,2022-07-10 12:30:00,showing,cancelled
347,142,188,9,2024-08-14 13:30:00,showing,follow-up needed
348,69,395,22,2021-11-12 12:30:00,consultation,cancelled
349,857,379,63,2023-02-14 17:00:00,showing,completed
350,48,900,5,2023-06-06 11:00:00,showing,follow-up needed
351,66,873,2,2021-05-10 13:30:00,consultation,follow-up needed
352,843,181,64,2024-12-21 11:00:00,showing,completed
353,549,254,32,2022-02-14 10:30:00,showing,completed
354,888,393,63,2022-10-18 10:00:00,showing,follow-up needed
355,235,278,21,2021-08-24 16:00:00,showing,follow-up needed
356,83,740,9,2021-09-29 11:30:00,showing,completed
357,657,649,10,2025-03-05 13:30:00,showing,completed
358,715,736,34,2023-07-05 14:00:00,showing,follow-up needed
359,693,279,16,2023-08-15 12:30:00,showing,follow-up needed
360,359,990,64,2024-05-10 10:30:00,consultation,completed
361,759,873,2,2021-12-05 16:00:00,consultation,cancelled
362,677,997,56,2023-10-25 17:00:00,consultation,completed
363,303,313,14,2021-10-08 13:30:00,showing,completed
364,526,718,72,2023-05-14 13:30:00,showing,follow-up needed
365,254,693,35,2021-09-17 15:00:00,consultation,follow-up needed
366,688,625,19,2021-11-12 14:30:00,showing,completed
367,169,271,56,2021-10-13 10:30:00,showing,completed
368,37,885,59,2021-06-26 10:30:00,showing,completed
369,613,286,38,2022-10-24 14:00:00,showing,cancelled
370,74,717,16,2021-05-16 15:30:00,showing,cancelled
371,991,872,58,2023-08-17 15:30:00,follow-up,completed
372,426,54,34,2021-09-23 15:30:00,follow-up,completed
373,811,14,22,2024-09-03 13:00:00,follow-up,completed
374,483,853,36,2023-04-20 10:30:00,showing,completed
375,846,279,34,2025-03-21 11:00:00,consultation,cancelled
376,848,575,13,2024-04-30 14:00:00,showing,follow-up needed
377,855,773,34,2021-09-19 11:00:00,showing,completed
378,184,191,5,2021-07-20 11:00:00,showing,cancelled
379,808,483,34,2022-04-02 16:00:00,showing,completed
380,48,284,5,2023-06-03 10:00:00,follow-up,follow-up needed
381,982,75,47,2024-03-10 14:30:00,showing,completed
382,2,463,66,2024-05-18 10:00:00,follow-up,follow-up needed
383,609,811,41,2022-06-19 10:30:00,follow-up,completed
384,153,999,40,2021-06-14 15:00:00,consultation,follow-up needed
385,15,622,11,2024-03-24 14:00:00,showing,completed
386,226,591,51,2021-02-14 10:00:00,showing,completed
387,182,355,58,2022-06-15 12:30:00,follow-up,follow-up needed
388,706,803,31,2025-01-27 15:00:00,follow-up,follow-up needed
389,101,570,8,2023-10-19 12:30:00,showing,completed
390,806,517,18,2025-02-02 11:30:00,follow-up,completed
391,344,176,14,2023-01-23 15:00:00,showing,completed
392,610,987,51,2022-06-02 15:30:00,showing,cancelled
393,916,21,13,2023-11-04 15:00:00,showing,completed
394,292,72,40,2022-02-10 14:00:00,follow-up,follow-up needed
395,9,386,25,2022-11-26 11:30:00,consultation,cancelled
396,590,999,8,2024-03-29 12:30:00,follow-up,follow-up needed
397,771,247,28,2021-06-27 10:30:00,showing,follow-up needed
398,912,147,51,2025-03-29 15:00:00,showing,follow-up needed
399,779,609,33,2024-05-22 11:00:00,showing,completed
400,317,31,53,2023-12-30 16:30:00,showing,completed
401,523,388,6,2022-12-30 13:30:00,showing,follow-up needed
402,865,673,10,2023-12-20 13:00:00,follow-up,follow-up needed
403,363,141,59,2022-12-30 14:30:00,showing,follow-up needed
404,23,909,69,2022-03-11 10:00:00,showing,follow-up needed
405,172,749,60,2023-03-02 10:30:00,showing,completed
406,128,139,61,2022-08-02 11:30:00,follow-up,follow-up needed
407,549,150,32,2022-03-03 11:00:00,showing,follow-up needed
408,467,232,48,2021-08-03 15:00:00,showing,follow-up needed
409,926,362,52,2023-02-04 15:30:00,showing,completed
410,905,799,60,2021-05-29 15:30:00,showing,completed
411,49,315,42,2021-10-19 10:30:00,consultation,completed
412,958,500,27,2024-03-01 11:00:00,showing,completed
413,956,508,25,2022-06-23 16:30:00,showing,follow-up needed
414,24,101,58,2024-02-24 10:00:00,showing,completed
415,176,111,24,2022-01-20 16:00:00,showing,completed
416,976,676,20,2021-08-06 16:30:00,follow-up,completed
417,838,629,52,2023-06-01 14:00:00,showing,follow-up needed
418,939,427,9,2021-09-19 17:30:00,showing,follow-up needed
419,729,783,5,2024-07-29 13:00:00,showing,follow-up needed
420,165,232,2,2022-04-26 14:30:00,showing,completed
421,46,288,6,2022-01-01 15:00:00,showing,follow-up needed
422,593,904,71,2021-06-27 10:30:00,follow-up,completed
423,64,101,51,2024-11-14 17:30:00,follow-up,cancelled
424,515,868,70,2022-11-20 15:30:00,follow-up,follow-up needed
425,671,48,13,2024-05-03 13:00:00,showing,follow-up needed
426,264,794,25,2025-01-03 15:00:00,showing,completed
427,172,357,60,2023-03-03 17:00:00,showing,follow-up needed
428,614,990,35,2023-01-02 15:30:00,follow-up,follow-up needed
429,325,165,54,2024-05-01 16:00:00,follow-up,follow-up needed
430,924,745,30,2022-11-22 11:30:00,showing,completed
431,734,360,40,2025-01-27 14:00:00,showing,completed
432,176,718,24,2021-10-01 10:00:00,showing,completed
433,86,748,22,2023-08-04 12:00:00,follow-up,follow-up needed
434,428,21,53,2023-12-28 14:30:00,showing,follow-up needed
435,993,462,56,2024-04-04 11:00:00,showing,follow-up needed
436,971,757,61,2023-10-18 10:30:00,showing,completed
437,279,398,19,2022-12-08 15:00:00,follow-up,completed
438,607,91,2,2024-05-24 16:30:00,showing,completed
439,412,129,72,2024-05-28 10:00:00,showing,follow-up needed
440,881,754,27,2023-09-22 11:30:00,showing,follow-up needed
441,441,252,63,2022-09-04 17:00:00,showing,completed
442,190,309,18,2022-04-04 10:30:00,showing,follow-up needed
443,468,71,34,2024-01-19 17:30:00,showing,completed
444,989,512,21,2024-07-21 17:30:00,showing,completed
445,979,830,9,2022-10-29 12:00:00,consultation,completed
446,904,368,42,2022-09-03 16:30:00,showing,completed
447,228,749,63,2021-07-20 16:00:00,showing,cancelled
448,1,462,67,2021-11-02 13:30:00,showing,completed
449,481,134,29,2023-12-17 10:00:00,showing,completed
450,336,952,65,2022-08-14 15:30:00,follow-up,follow-up needed
451,672,280,22,2021-04-20 12:00:00,showing,completed
452,345,649,40,2024-11-16 17:30:00,consultation,follow-up needed
453,147,913,1,2021-09-27 12:00:00,showing,follow-up needed
454,703,628,12,2022-12-24 11:00:00,consultation,completed
455,325,86,54,2024-08-07 12:00:00,showing,follow-up needed
456,184,958,5,2021-08-01 10:00:00,showing,follow-up needed
457,333,556,37,2022-12-01 16:00:00,consultation,follow-up needed
458,487,936,16,2023-12-07 12:00:00,showing,completed
459,667,238,34,2023-06-19 11:30:00,showing,follow-up needed
460,264,776,25,2024-11-14 15:00:00,follow-up,cancelled
461,575,646,72,2023-04-14 11:00:00,showing,follow-up needed
462,561,180,36,2023-12-06 16:00:00,follow-up,completed
463,992,380,10,2024-07-29 15:30:00,showing,follow-up needed
464,549,284,32,2021-11-28 11:30:00,consultation,follow-up needed
465,581,30,25,2024-10-18 17:30:00,showing,cancelled
466,495,792,52,2024-01-18 11:30:00,showing,follow-up needed
467,456,665,58,2022-09-15 10:00:00,follow-up,follow-up needed
468,56,506,14,2021-07-28 13:30:00,showing,follow-up needed
469,47,24,60,2021-11-19 13:00:00,showing,completed
470,429,141,54,2024-10-02 16:00:00,showing,follow-up needed
471,154,76,62,2021-12-15 17:00:00,follow-up,completed
472,700,723,2,2024-10-31 14:30:00,showing,follow-up needed
473,340,625,62,2021-09-07 10:00:00,showing,follow-up needed
474,780,621,45,2024-05-26 12:00:00,showing,completed
475,384,181,55,2022-01-04 12:00:00,showing,completed
476,609,482,41,2022-06-16 12:00:00,showing,completed
