listing_id,client_id,role_type
211,969,landlord
212,171,landlord
213,230,landlord
213,840,landlord
214,512,landlord
215,517,landlord
216,939,landlord
217,951,landlord
218,42,landlord
219,58,landlord
219,72,landlord
220,891,owner
221,749,landlord
222,428,landlord
223,621,owner
224,184,owner
225,245,landlord
225,975,landlord
226,249,owner
227,197,owner
228,44,owner
229,253,landlord
230,55,owner
231,857,owner
232,781,owner
233,765,landlord
234,182,landlord
234,617,landlord
235,390,landlord
235,746,landlord
236,471,owner
237,878,landlord
238,652,owner
239,443,landlord
240,81,owner
241,171,owner
241,969,owner
242,882,landlord
242,936,landlord
243,558,owner
244,13,owner
245,558,owner
245,878,owner
246,454,owner
247,290,landlord
248,224,owner
249,244,owner
249,996,owner
250,674,landlord
251,211,owner
252,273,owner
253,382,owner
254,189,landlord
254,461,landlord
255,978,landlord
256,469,owner
257,8,landlord
257,159,landlord
258,718,owner
259,616,landlord
259,642,landlord
260,300,owner
261,812,owner
262,93,owner
262,602,owner
263,285,landlord
264,424,landlord
265,284,owner
265,809,owner
266,82,owner
267,83,landlord
267,175,landlord
268,656,owner
269,807,owner
270,76,owner
270,799,owner
271,363,landlord
272,957,owner
273,270,landlord
273,879,landlord
274,379,owner
275,802,owner
276,251,owner
276,978,owner
277,688,owner
278,299,landlord
278,908,landlord
279,435,landlord
280,274,landlord
281,827,owner
282,101,landlord
283,882,owner
284,25,landlord
285,690,landlord
285,908,landlord
286,443,owner
287,272,landlord
288,156,owner
289,304,landlord
289,339,landlord
290,101,owner
291,380,owner
292,381,owner
293,368,owner
294,183,owner
295,733,landlord
296,425,owner
297,214,landlord
297,653,landlord
298,234,owner
299,72,owner
300,341,owner
301,486,owner
302,558,owner
303,807,owner
304,413,landlord
305,104,owner
306,752,owner
307,457,landlord
308,97,landlord
308,289,landlord
309,672,owner
310,527,landlord
311,23,owner
312,84,owner
313,551,landlord
314,365,landlord
315,109,landlord
316,171,owner
316,930,owner
317,379,landlord
318,464,owner
318,979,owner
319,514,owner
320,230,owner
320,237,owner
321,778,owner
321,995,owner
322,443,landlord
322,540,landlord
323,982,owner
324,930,owner
325,143,owner
325,359,owner
326,424,owner
326,808,owner
327,734,owner
328,179,owner
329,8,landlord
329,412,landlord
330,571,landlord
331,656,landlord
332,905,owner
333,576,landlord
333,858,landlord
334,297,owner
335,40,landlord
336,99,owner
337,514,owner
338,503,landlord
339,705,landlord
340,230,owner
341,817,owner
342,993,owner
343,874,landlord
343,911,landlord
344,130,landlord
345,569,owner
346,470,owner
347,891,owner
348,808,owner
349,3,owner
350,812,owner
351,240,owner
352,969,owner
353,98,owner
353,656,owner
354,14,owner
355,167,landlord
356,83,owner
357,344,owner
358,2,owner
358,92,owner
359,389,landlord
359,809,landlord
360,74,owner
361,99,owner
362,145,owner
363,143,landlord
364,728,landlord
365,994,landlord
366,126,owner
367,363,owner
368,319,owner
369,596,owner
370,104,owner
370,336,owner
371,270,landlord
372,978,landlord
373,179,owner
374,13,owner
374,68,owner
375,918,landlord
376,582,landlord
376,890,landlord
377,737,owner
378,83,landlord
379,939,landlord
380,733,owner
381,984,landlord
382,115,landlord
382,500,landlord
383,770,landlord
383,865,landlord
384,599,owner
385,172,owner
385,753,owner
386,297,landlord
387,491,landlord
388,286,owner
389,248,owner
390,10,owner
391,158,landlord
392,833,landlord
393,123,owner
393,423,owner
394,936,landlord
395,529,owner
395,998,owner
396,86,owner
397,329,owner
397,659,owner
398,893,owner
399,808,owner
400,425,landlord
401,263,landlord
402,150,landlord
403,517,owner
403,982,owner
404,521,owner
405,500,landlord
406,363,owner
407,364,landlord
408,144,landlord
408,219,landlord
409,514,owner
409,529,owner
410,341,landlord
411,376,landlord
412,411,landlord
413,290,landlord
413,522,landlord
414,647,owner
415,936,landlord
416,244,owner
416,905,owner
417,67,landlord
417,213,landlord
418,969,owner
419,45,landlord
420,452,owner
421,179,landlord
422,273,owner
423,558,landlord
424,474,owner
425,276,owner
426,907,landlord
427,390,landlord
428,185,owner
428,409,owner
429,941,owner
430,613,landlord
431,167,owner
432,617,landlord
433,179,landlord
434,844,owner
434,863,owner
435,405,landlord
435,466,landlord
436,38,owner
437,18,owner
438,714,owner
439,817,landlord
440,766,owner
441,370,owner
442,919,owner
443,652,landlord
444,182,owner
445,131,owner
446,666,landlord
447,364,landlord
447,692,landlord
448,150,landlord
448,580,landlord
449,365,landlord
450,672,owner
450,957,owner
451,276,owner
452,842,owner
453,474,owner
454,402,owner
455,917,owner
456,169,owner
457,333,landlord
458,75,owner
458,92,owner
459,690,owner
459,857,owner
460,714,owner
461,54,landlord
462,467,landlord
463,765,owner
464,451,owner
464,664,owner
465,3,landlord
465,489,landlord
466,691,owner
467,175,landlord
467,735,landlord
468,353,landlord
469,294,landlord
470,436,owner
471,62,owner
472,939,owner
473,643,owner
474,618,owner
475,339,owner
476,584,owner
477,720,owner
478,172,landlord
479,939,owner
480,642,landlord
481,10,landlord
482,470,landlord
483,245,owner
483,880,owner
484,911,landlord
485,704,landlord
486,452,landlord
487,297,owner
487,551,owner
488,341,owner
489,809,owner
490,866,landlord
491,272,landlord
491,855,landlord
492,236,owner
492,506,owner
493,424,landlord
494,358,owner
495,602,landlord
496,971,owner
497,45,landlord
497,413,landlord
498,585,owner
499,270,landlord
500,976,landlord
501,230,owner
502,996,owner
503,691,owner
504,344,landlord
505,522,owner
506,598,owner
507,766,landlord
507,980,landlord
508,317,owner
509,382,owner
510,290,owner
511,270,owner
512,691,landlord
513,844,owner
514,474,landlord
515,664,landlord
515,822,landlord
516,801,landlord
517,131,owner
517,865,owner
518,245,owner
519,423,owner
519,808,owner
520,120,landlord
521,672,owner
522,123,owner
523,159,owner
523,991,owner
524,185,landlord
525,183,owner
526,38,owner
527,15,owner
528,808,landlord
529,584,owner
529,679,owner
530,338,owner
531,602,owner
532,143,landlord
533,171,owner
534,137,owner
535,38,owner
536,726,landlord
537,756,owner
538,435,owner
538,507,owner
539,161,owner
540,340,landlord
541,298,landlord
542,100,owner
543,109,owner
543,908,owner
544,467,landlord
544,720,landlord
545,233,landlord
546,87,landlord
546,778,landlord
547,88,landlord
548,175,landlord
548,287,landlord
549,45,owner
549,514,owner
550,880,owner
550,986,owner
551,752,landlord
552,394,owner
552,725,owner
553,517,owner
554,930,owner
555,108,owner
555,411,owner
556,471,landlord
556,844,landlord
557,503,owner
558,709,owner
559,132,landlord
560,505,owner
560,691,owner
561,10,landlord
562,656,owner
563,599,landlord
564,564,landlord
565,158,landlord
566,166,landlord
566,585,landlord
567,306,owner
568,428,landlord
569,934,landlord
570,512,owner
571,15,owner
572,2,landlord
572,641,landlord
573,778,landlord
574,834,landlord
575,244,landlord
576,930,owner
577,101,landlord
578,840,owner
579,705,owner
579,907,owner
580,42,landlord
580,470,landlord
581,521,owner
581,879,owner
582,44,landlord
582,860,landlord
583,588,owner
584,74,owner
584,949,owner
585,701,owner
586,704,owner
587,692,owner
588,730,owner
589,327,owner
590,370,landlord
591,673,owner
592,870,owner
593,54,landlord
593,156,landlord
594,168,owner
595,62,landlord
596,412,landlord
597,87,landlord
597,864,landlord
598,444,owner
598,464,owner
599,436,landlord
599,443,landlord
600,642,landlord
601,720,landlord
602,752,owner
603,692,owner
604,333,owner
605,179,owner
605,860,owner
606,306,owner
606,647,owner
607,163,owner
608,895,landlord
609,409,landlord
609,412,landlord
610,189,landlord
611,470,owner
612,237,owner
612,244,owner
613,876,owner
614,290,owner
614,753,owner
615,270,owner
616,436,landlord
617,317,landlord
618,593,owner
619,203,landlord
619,754,landlord
620,893,owner
621,234,owner
622,619,owner
622,969,owner
623,38,owner
624,284,owner
624,704,owner
625,289,landlord
625,650,landlord
626,424,owner
626,499,owner
627,2,landlord
627,617,landlord
628,879,landlord
629,412,owner
630,340,owner
630,438,owner
631,447,owner
632,789,landlord
633,150,landlord
634,451,landlord
635,179,landlord
635,871,landlord
636,986,landlord
637,717,landlord
638,930,landlord
639,641,landlord
640,284,owner
641,98,owner
642,364,owner
643,274,owner
643,911,owner
644,304,owner
645,558,owner
646,82,landlord
647,730,landlord
648,685,landlord
649,621,owner
650,893,owner
651,527,owner
652,9,owner
652,39,owner
653,593,landlord
654,656,owner
655,412,owner
656,66,landlord
657,230,landlord
657,596,landlord
658,42,landlord
659,598,landlord
660,245,owner
660,799,owner
661,582,owner
662,593,owner
663,415,owner
664,249,owner
664,470,owner
665,558,owner
666,971,landlord
667,185,landlord
668,319,owner
669,543,owner
670,691,owner
671,294,owner
672,516,landlord
673,438,owner
674,643,landlord
674,994,landlord
675,274,owner
675,908,owner
676,564,landlord
676,764,landlord
677,812,landlord
678,882,owner
679,552,owner
680,629,owner
681,866,landlord
681,918,landlord
682,6,owner
682,425,owner
683,415,owner
684,285,owner
685,422,owner
686,353,owner
687,860,landlord
688,512,landlord
689,911,landlord
690,5,owner
691,500,owner
691,599,owner
692,81,owner
692,763,owner
693,460,landlord
694,57,owner
695,219,landlord
696,591,owner
696,690,owner
697,785,owner
698,166,owner
699,771,landlord
700,969,owner
701,419,landlord
702,419,landlord
703,287,owner
704,287,landlord
705,144,landlord
705,619,landlord
706,144,landlord
706,619,landlord
707,866,landlord
708,866,landlord
709,23,owner
709,454,owner
710,454,owner
711,960,owner
712,960,landlord
713,737,landlord
714,737,landlord
715,47,owner
715,294,owner
716,47,owner
716,294,owner
717,714,owner
718,714,owner
719,764,landlord
720,764,owner
720,971,owner
721,28,owner
721,88,owner
722,28,owner
723,109,owner
723,816,owner
724,109,owner
724,816,owner
725,887,landlord
726,887,landlord
727,175,owner
727,375,owner
728,175,owner
728,375,owner
729,101,landlord
729,982,landlord
730,101,landlord
730,982,landlord
731,759,landlord
732,759,landlord
733,685,landlord
734,685,landlord
735,274,owner
735,344,owner
736,274,owner
737,167,owner
738,167,owner
739,944,owner
740,944,owner
741,237,owner
742,237,owner
743,98,owner
744,98,owner
745,718,owner
746,237,owner
746,718,owner
747,190,owner
747,452,owner
748,452,landlord
749,82,owner
750,82,owner
750,230,owner
751,2,owner
752,2,owner
753,100,landlord
754,100,landlord
754,437,landlord
755,521,landlord
756,521,landlord
757,949,landlord
758,270,landlord
758,949,landlord
759,998,landlord
760,998,owner
761,81,landlord
761,488,landlord
762,81,landlord
762,488,landlord
763,145,landlord
763,613,landlord
764,145,landlord
764,613,landlord
765,515,owner
766,515,owner
767,354,owner
767,454,owner
768,354,owner
768,454,owner
769,740,owner
770,740,owner
771,168,owner
772,168,owner
773,596,landlord
774,596,owner
775,125,owner
776,125,owner
777,276,landlord
778,276,owner
779,980,owner
780,980,owner
781,461,owner
782,461,owner
783,209,landlord
783,652,landlord
784,209,landlord
784,652,landlord
785,588,owner
786,588,landlord
787,551,landlord
788,551,owner
788,961,owner
789,569,owner
790,569,owner
791,629,landlord
792,629,landlord
793,247,owner
793,613,owner
794,247,owner
794,613,owner
795,182,landlord
796,182,owner
797,543,owner
798,543,owner
799,527,landlord
800,527,landlord
801,714,landlord
802,714,landlord
803,33,owner
803,688,owner
804,33,owner
804,688,owner
805,62,landlord
806,62,landlord
806,924,landlord
807,339,owner
808,339,owner
809,695,landlord
810,695,landlord
811,435,landlord
812,435,landlord
813,97,owner
814,97,owner
815,846,owner
816,846,owner
817,405,landlord
818,123,landlord
818,405,landlord
819,642,landlord
820,642,landlord
821,425,landlord
822,425,landlord
822,985,landlord
823,494,landlord
823,513,landlord
824,494,landlord
824,513,landlord
825,173,landlord
826,173,owner
827,274,landlord
828,274,owner
829,249,owner
829,641,owner
830,443,landlord
830,641,landlord
831,389,landlord
832,389,landlord
833,452,owner
834,452,owner
835,670,owner
836,670,owner
837,419,owner
838,419,owner
839,145,owner
839,585,owner
840,145,owner
841,190,owner
842,190,owner
843,652,owner
844,652,landlord
845,29,landlord
846,29,landlord
847,941,landlord
848,941,owner
849,314,landlord
850,314,landlord
851,969,landlord
852,969,landlord
853,42,owner
854,42,owner
855,189,landlord
855,491,landlord
856,491,owner
857,247,landlord
858,247,landlord
859,505,landlord
859,705,landlord
860,273,landlord
860,705,landlord
861,276,owner
862,276,owner
863,10,owner
864,10,owner
865,816,landlord
866,67,owner
866,816,owner
867,670,owner
868,670,owner
869,55,owner
870,55,owner
871,842,owner
872,842,owner
873,272,landlord
874,253,landlord
874,272,landlord
875,23,landlord
875,467,landlord
876,23,landlord
876,467,landlord
877,3,owner
877,735,owner
878,735,owner
879,892,owner
880,892,owner
881,245,landlord
881,988,landlord
882,988,landlord
883,630,landlord
883,801,landlord
884,753,landlord
884,801,landlord
885,512,landlord
886,512,landlord
887,929,landlord
888,929,landlord
889,197,landlord
890,197,owner
891,183,owner
892,183,landlord
893,994,owner
894,994,owner
895,756,owner
896,756,landlord
897,505,owner
897,529,owner
898,505,owner
898,529,owner
899,81,owner
899,797,owner
900,81,owner
900,797,owner
901,975,landlord
902,975,landlord
903,468,landlord
904,468,landlord
905,155,owner
906,155,owner
907,546,owner
908,546,landlord
909,319,owner
910,319,landlord
911,664,owner
912,664,owner
913,778,owner
914,778,owner
915,468,landlord
915,979,landlord
916,979,owner
917,792,landlord
918,792,landlord
919,659,landlord
920,659,landlord
921,234,landlord
921,300,landlord
922,234,landlord
922,300,landlord
923,911,owner
924,911,owner
925,491,owner
926,491,owner
927,13,owner
928,13,owner
929,173,landlord
930,173,owner
931,903,landlord
932,903,landlord
933,327,owner
933,413,owner
934,327,owner
934,413,owner
935,389,owner
936,389,landlord
937,874,owner
938,874,owner
939,735,landlord
940,735,owner
941,951,owner
942,951,owner
943,720,landlord
944,720,landlord
945,197,landlord
946,197,owner
947,333,owner
948,333,landlord
949,994,owner
950,754,owner
950,994,owner
951,753,landlord
952,753,landlord
953,939,owner
954,939,owner
955,809,landlord
956,809,landlord
957,286,owner
958,286,owner
959,870,owner
960,870,owner
961,503,owner
962,503,landlord
963,230,landlord
963,546,landlord
964,546,landlord
965,379,landlord
966,379,landlord
967,344,landlord
968,344,landlord
969,939,landlord
970,939,landlord
971,567,landlord
972,567,owner
973,858,landlord
974,858,landlord
975,659,owner
976,659,landlord
977,678,landlord
978,678,owner
979,390,landlord
980,390,owner
981,666,landlord
981,686,landlord
982,666,owner
982,686,owner
983,666,owner
984,666,owner
985,735,owner
986,735,owner
987,8,landlord
987,93,landlord
988,93,owner
989,494,owner
990,494,owner
991,411,owner
991,564,owner
992,564,landlord
993,709,landlord
994,709,owner
995,469,owner
996,469,owner
997,821,owner
998,821,landlord
999,13,owner
1000,13,owner
