transaction_id,client_id,role_type
55,730,seller
55,752,seller
56,692,seller
56,716,buyer
57,150,landlord
57,604,tenant
58,322,tenant
58,447,landlord
58,936,landlord
59,354,landlord
59,994,tenant
60,368,tenant
60,508,tenant
60,588,landlord
61,145,landlord
61,481,tenant
61,824,tenant
62,310,tenant
62,603,landlord
62,953,tenant
63,185,landlord
63,611,tenant
64,254,buyer
64,416,seller
64,789,seller
65,748,buyer
65,871,seller
66,635,buyer
66,664,seller
67,896,buyer
67,951,seller
68,82,tenant
68,284,landlord
69,99,seller
69,572,buyer
70,97,seller
70,230,seller
70,361,buyer
71,819,buyer
71,821,seller
72,15,seller
72,81,seller
72,275,buyer
73,350,tenant
73,852,landlord
74,263,landlord
74,323,landlord
74,486,tenant
75,320,buyer
75,511,buyer
75,581,seller
76,669,seller
76,900,buyer
77,541,buyer
77,768,seller
78,605,tenant
78,629,landlord
78,828,tenant
79,155,landlord
79,444,landlord
79,901,tenant
80,424,seller
80,830,buyer
81,68,seller
81,431,buyer
81,435,seller
81,722,buyer
82,41,landlord
82,181,tenant
82,472,tenant
83,226,buyer
83,941,seller
84,40,landlord
84,214,landlord
84,368,tenant
85,200,landlord
85,693,tenant
85,752,landlord
85,939,tenant
86,401,landlord
86,501,landlord
86,958,tenant
87,326,tenant
87,438,landlord
88,67,seller
88,275,buyer
88,421,seller
89,333,landlord
89,552,landlord
89,706,tenant
89,762,tenant
90,336,landlord
90,608,tenant
91,405,seller
91,506,buyer
91,714,seller
92,57,seller
92,82,buyer
93,214,buyer
93,790,seller
94,109,tenant
94,749,landlord
94,903,landlord
95,29,seller
95,446,buyer
96,186,tenant
96,422,landlord
96,552,landlord
97,221,buyer
97,290,seller
98,240,buyer
98,571,seller
98,965,buyer
99,89,buyer
99,293,buyer
99,982,seller
100,641,seller
100,812,buyer
101,530,buyer
101,827,seller
102,201,buyer
102,413,seller
103,920,buyer
103,960,seller
104,390,seller
104,826,buyer
105,55,seller
105,293,buyer
105,909,buyer
106,642,seller
106,714,buyer
107,142,buyer
107,375,buyer
107,695,seller
108,27,seller
108,762,buyer
109,40,buyer
109,737,seller
110,327,seller
110,438,buyer
111,712,buyer
111,799,seller
112,58,seller
112,166,seller
112,703,buyer
112,709,buyer
113,387,landlord
113,625,tenant
113,923,tenant
114,45,seller
114,727,buyer
115,170,buyer
115,200,seller
116,274,buyer
116,353,seller
117,585,landlord
117,644,tenant
118,44,landlord
118,481,tenant
119,514,seller
119,585,seller
119,796,buyer
120,792,seller
120,946,buyer
121,264,tenant
121,924,landlord
122,213,landlord
122,321,tenant
123,539,buyer
123,864,seller
124,418,buyer
124,802,seller
125,612,tenant
125,759,landlord
126,57,buyer
126,175,seller
126,558,seller
126,819,buyer
127,357,buyer
127,733,seller
127,979,seller
128,439,tenant
128,505,landlord
129,224,seller
129,882,buyer
130,652,seller
130,920,buyer
131,40,tenant
131,120,tenant
131,359,landlord
132,13,buyer
132,409,seller
132,721,buyer
133,274,landlord
133,953,tenant
134,338,landlord
134,841,tenant
134,912,tenant
135,355,buyer
135,925,seller
136,584,buyer
136,893,seller
137,191,buyer
137,833,seller
138,803,buyer
138,870,seller
139,65,buyer
139,298,seller
139,317,seller
140,605,tenant
140,717,landlord
141,551,landlord
141,699,tenant
141,963,tenant
142,251,landlord
142,666,landlord
142,811,tenant
143,814,tenant
143,976,landlord
144,397,tenant
144,576,landlord
145,288,tenant
145,465,tenant
145,573,landlord
145,993,landlord
146,721,buyer
146,940,seller
147,684,buyer
147,752,seller
148,419,landlord
148,460,landlord
148,491,tenant
149,123,tenant
149,276,landlord
150,258,seller
150,762,buyer
151,73,buyer
151,167,seller
152,6,tenant
152,336,landlord
152,421,landlord
153,274,landlord
153,279,tenant
154,611,buyer
154,817,seller
155,31,tenant
155,636,landlord
155,969,landlord
156,143,tenant
156,171,landlord
156,686,tenant
157,230,landlord
157,840,landlord
157,943,tenant
158,184,tenant
158,512,landlord
159,361,tenant
159,517,landlord
159,838,tenant
160,634,tenant
160,939,landlord
160,998,tenant
161,58,landlord
161,72,landlord
161,945,tenant
162,260,buyer
162,621,seller
162,805,buyer
163,184,seller
163,226,buyer
164,78,tenant
164,253,landlord
164,792,tenant
165,55,seller
165,681,buyer
166,857,seller
166,919,buyer
167,320,buyer
167,781,seller
168,736,tenant
168,765,landlord
169,81,tenant
169,390,landlord
169,746,landlord
170,471,seller
170,841,buyer
171,448,tenant
171,878,landlord
172,652,seller
172,927,buyer
173,81,seller
173,742,buyer
174,712,tenant
174,882,landlord
174,936,landlord
175,204,buyer
175,558,seller
176,13,seller
176,148,buyer
177,558,seller
177,594,buyer
177,878,seller
178,454,seller
178,594,buyer
179,102,tenant
179,290,landlord
180,244,seller
180,749,buyer
180,996,seller
181,674,landlord
181,676,tenant
182,37,buyer
182,273,seller
183,382,seller
183,643,buyer
184,324,tenant
184,947,tenant
184,978,landlord
185,469,seller
185,702,buyer
186,274,tenant
186,616,landlord
186,642,landlord
187,300,seller
187,561,buyer
188,362,buyer
188,812,seller
189,93,seller
189,602,seller
189,722,buyer
190,285,landlord
190,595,tenant
191,284,seller
191,445,buyer
191,809,seller
191,909,buyer
192,82,seller
192,495,buyer
193,83,landlord
193,175,landlord
193,196,tenant
194,212,buyer
194,656,seller
195,807,seller
195,973,buyer
196,337,tenant
196,363,landlord
196,698,tenant
197,270,landlord
197,879,landlord
197,996,tenant
198,379,seller
198,721,buyer
199,658,buyer
199,802,seller
200,251,seller
200,340,buyer
200,978,seller
201,299,landlord
201,806,tenant
201,908,landlord
202,435,landlord
202,739,tenant
203,274,landlord
203,794,tenant
204,721,buyer
204,827,seller
205,101,landlord
205,498,tenant
205,818,tenant
206,749,buyer
206,882,seller
207,25,landlord
207,627,tenant
208,565,tenant
208,690,landlord
208,908,landlord
209,163,buyer
209,443,seller
210,272,landlord
210,397,tenant
211,156,seller
211,337,buyer
212,101,seller
212,524,buyer
213,380,seller
213,574,buyer
214,95,buyer
214,381,seller
215,151,tenant
215,433,tenant
215,733,landlord
216,425,seller
216,997,buyer
217,114,tenant
217,214,landlord
217,653,landlord
218,234,seller
218,388,buyer
218,487,buyer
219,72,seller
219,96,buyer
220,341,seller
220,573,buyer
221,558,seller
221,617,buyer
222,313,buyer
222,807,seller
223,413,landlord
223,807,tenant
224,104,seller
224,361,buyer
225,457,landlord
225,463,tenant
226,38,tenant
226,97,landlord
226,289,landlord
227,590,buyer
227,672,seller
228,527,landlord
228,874,tenant
229,23,seller
229,192,buyer
230,84,seller
230,777,buyer
231,365,landlord
231,617,tenant
232,464,seller
232,974,buyer
232,979,seller
233,514,seller
233,878,buyer
233,932,buyer
234,16,buyer
234,230,seller
234,237,seller
235,218,buyer
235,778,seller
235,995,seller
236,443,landlord
236,540,landlord
236,814,tenant
237,101,buyer
237,982,seller
238,8,landlord
238,231,tenant
238,412,landlord
238,668,tenant
239,656,landlord
239,943,tenant
240,293,buyer
240,905,seller
241,64,tenant
241,192,tenant
241,576,landlord
241,858,landlord
242,503,landlord
242,538,tenant
243,231,tenant
243,705,landlord
244,360,buyer
244,817,seller
245,420,buyer
245,993,seller
246,670,tenant
246,874,landlord
246,911,landlord
247,311,buyer
247,470,seller
248,382,buyer
248,891,seller
249,544,buyer
249,808,seller
250,3,seller
250,749,buyer
251,255,buyer
251,812,seller
252,240,seller
252,577,buyer
253,16,buyer
253,969,seller
254,98,seller
254,135,buyer
254,656,seller
255,167,landlord
255,408,tenant
255,748,tenant
256,83,seller
256,843,buyer
257,32,buyer
257,344,seller
258,2,seller
258,92,seller
258,622,buyer
259,74,seller
259,538,buyer
260,99,seller
260,606,buyer
261,143,landlord
261,264,tenant
261,916,tenant
262,384,tenant
262,994,landlord
263,126,seller
263,268,buyer
264,523,buyer
264,596,seller
264,776,buyer
265,104,seller
265,278,buyer
265,336,seller
266,256,tenant
266,270,landlord
266,755,tenant
267,13,seller
267,68,seller
267,417,buyer
268,177,tenant
268,582,landlord
268,890,landlord
269,325,buyer
269,733,seller
270,340,tenant
270,984,landlord
271,172,seller
271,752,buyer
271,753,seller
272,297,landlord
272,658,tenant
273,119,tenant
273,491,landlord
274,286,seller
274,601,buyer
275,248,seller
275,850,buyer
276,10,seller
276,942,buyer
277,158,landlord
277,932,tenant
278,123,seller
278,423,seller
278,481,buyer
279,732,tenant
279,936,landlord
280,529,seller
280,900,buyer
280,998,seller
281,86,seller
281,708,buyer
282,215,buyer
282,329,seller
282,659,seller
283,221,buyer
283,893,seller
284,425,landlord
284,679,tenant
285,82,tenant
285,263,landlord
285,697,tenant
286,150,landlord
286,346,tenant
286,577,tenant
287,98,buyer
287,517,seller
287,982,seller
288,317,buyer
288,521,seller
289,76,tenant
289,500,landlord
289,657,tenant
290,363,seller
290,836,buyer
291,364,landlord
291,460,tenant
292,144,landlord
292,219,landlord
292,460,tenant
293,376,landlord
293,793,tenant
294,220,tenant
294,411,landlord
295,290,landlord
295,522,landlord
295,943,tenant
296,274,buyer
296,647,seller
297,286,tenant
297,936,landlord
298,67,landlord
298,213,landlord
298,745,tenant
299,460,buyer
299,605,buyer
299,969,seller
300,45,landlord
300,227,tenant
301,305,buyer
301,452,seller
302,85,buyer
302,196,buyer
302,273,seller
303,149,buyer
303,254,buyer
303,474,seller
304,73,buyer
304,276,seller
305,235,tenant
305,907,landlord
306,390,landlord
306,889,tenant
307,114,tenant
307,613,landlord
308,167,seller
308,953,buyer
309,123,tenant
309,179,landlord
309,285,tenant
310,706,buyer
310,844,seller
310,863,seller
311,405,landlord
311,433,tenant
311,466,landlord
311,806,tenant
312,38,seller
312,285,buyer
313,18,seller
313,395,buyer
314,714,seller
314,861,buyer
315,766,seller
315,993,buyer
316,554,tenant
316,666,landlord
317,364,landlord
317,692,landlord
317,945,tenant
318,407,buyer
318,672,seller
318,957,seller
319,474,seller
319,764,buyer
320,402,seller
320,698,buyer
321,714,seller
321,806,buyer
322,54,landlord
322,482,tenant
323,467,landlord
323,779,tenant
324,225,buyer
324,765,seller
325,3,landlord
325,44,tenant
325,489,landlord
326,111,buyer
326,691,seller
327,175,landlord
327,735,landlord
327,896,tenant
328,313,tenant
328,353,landlord
329,294,landlord
329,663,tenant
330,44,buyer
330,348,buyer
330,436,seller
331,214,buyer
331,643,seller
332,618,seller
332,668,buyer
333,339,seller
333,939,buyer
334,362,buyer
334,584,seller
335,139,buyer
335,720,seller
336,10,landlord
336,134,tenant
337,470,landlord
337,984,tenant
338,245,seller
338,880,seller
338,987,buyer
339,901,tenant
339,911,landlord
340,452,landlord
340,850,tenant
341,67,buyer
341,297,seller
341,551,seller
342,341,seller
342,629,buyer
343,809,seller
343,897,buyer
344,375,tenant
344,866,landlord
345,148,buyer
345,236,seller
345,506,seller
346,424,landlord
346,565,tenant
347,76,buyer
347,358,seller
347,962,buyer
348,602,landlord
348,906,tenant
349,532,buyer
349,971,seller
350,45,landlord
350,160,tenant
350,413,landlord
351,270,landlord
351,672,tenant
352,799,tenant
352,976,landlord
353,522,seller
353,649,buyer
354,598,seller
354,906,buyer
355,751,tenant
355,766,landlord
355,980,landlord
356,317,seller
356,420,buyer
357,382,seller
357,754,buyer
358,290,seller
358,721,buyer
359,270,seller
359,544,buyer
360,691,landlord
360,824,tenant
361,844,seller
361,942,buyer
362,216,tenant
362,623,tenant
362,664,landlord
362,822,landlord
363,131,seller
363,760,buyer
363,865,seller
364,245,seller
364,812,buyer
365,128,buyer
365,423,seller
365,808,seller
366,120,landlord
366,193,tenant
367,72,buyer
367,672,seller
368,159,seller
368,388,buyer
368,991,seller
369,122,tenant
369,185,landlord
370,183,seller
370,225,buyer
370,247,buyer
371,38,seller
371,386,buyer
371,896,buyer
372,15,seller
372,959,buyer
373,707,tenant
373,808,landlord
374,151,buyer
374,584,seller
374,679,seller
375,602,seller
375,840,buyer
376,143,landlord
376,574,tenant
377,171,seller
377,523,buyer
378,137,seller
378,255,buyer
379,38,seller
379,646,buyer
380,726,landlord
380,848,tenant
381,686,buyer
381,756,seller
382,435,seller
382,507,seller
382,572,buyer
383,161,seller
383,194,buyer
384,340,landlord
384,936,tenant
385,298,landlord
385,508,tenant
386,100,seller
386,351,buyer
387,467,landlord
387,643,tenant
387,720,landlord
388,233,landlord
388,668,tenant
389,87,landlord
389,196,tenant
389,778,landlord
390,88,landlord
390,500,tenant
391,394,seller
391,481,buyer
391,725,seller
392,176,buyer
392,517,seller
393,775,buyer
393,909,buyer
393,930,seller
394,108,seller
394,411,seller
394,708,buyer
395,471,landlord
395,739,tenant
395,844,landlord
396,186,buyer
396,503,seller
397,608,buyer
397,703,buyer
397,709,seller
398,73,buyer
398,505,seller
398,691,seller
399,10,landlord
399,180,tenant
400,119,buyer
400,656,seller
401,599,landlord
401,738,tenant
401,836,tenant
402,91,tenant
402,278,tenant
402,564,landlord
403,158,landlord
403,178,tenant
404,11,tenant
404,166,landlord
404,585,landlord
405,428,landlord
405,1000,tenant
406,934,landlord
406,968,tenant
407,56,buyer
407,512,seller
408,15,seller
408,177,buyer
409,2,landlord
409,641,landlord
409,700,tenant
410,646,tenant
410,834,landlord
411,422,buyer
411,930,seller
412,101,landlord
412,296,tenant
413,42,landlord
413,470,landlord
413,516,tenant
414,81,buyer
414,521,seller
414,879,seller
415,500,buyer
415,588,seller
415,594,buyer
416,682,buyer
416,704,seller
416,772,buyer
417,327,seller
417,460,buyer
417,463,buyer
418,370,landlord
418,999,tenant
419,673,seller
419,767,buyer
420,537,buyer
420,870,seller
421,54,landlord
421,156,landlord
421,446,tenant
422,168,seller
422,214,buyer
423,62,landlord
423,758,tenant
424,87,landlord
424,864,landlord
424,919,tenant
424,959,tenant
425,444,seller
425,464,seller
425,778,buyer
426,31,tenant
426,436,landlord
426,443,landlord
427,642,landlord
427,710,tenant
428,286,tenant
428,720,landlord
428,974,tenant
429,327,buyer
429,752,seller
430,91,buyer
430,163,seller
431,119,tenant
431,751,tenant
431,895,landlord
432,409,landlord
432,412,landlord
432,644,tenant
433,31,tenant
433,189,landlord
434,204,buyer
434,470,seller
435,237,seller
435,244,seller
435,671,buyer
436,286,buyer
436,876,seller
437,270,seller
437,558,buyer
438,203,landlord
438,731,tenant
438,754,landlord
439,96,buyer
439,893,seller
440,619,seller
440,796,buyer
440,969,seller
441,38,seller
441,491,buyer
442,284,seller
442,704,seller
442,965,buyer
443,424,seller
443,499,seller
443,819,buyer
444,2,landlord
444,617,landlord
444,684,tenant
445,116,tenant
445,879,landlord
446,340,seller
446,438,seller
446,875,buyer
447,139,buyer
447,447,seller
448,120,tenant
448,789,landlord
449,179,landlord
449,335,tenant
449,871,landlord
450,303,tenant
450,717,landlord
451,641,landlord
451,835,tenant
452,121,buyer
452,284,seller
453,98,seller
453,160,buyer
453,575,buyer
454,58,buyer
454,364,seller
454,672,buyer
455,274,seller
455,819,buyer
455,911,seller
456,304,seller
456,745,buyer
457,82,landlord
457,605,tenant
458,730,landlord
458,947,tenant
459,7,tenant
459,685,landlord
460,201,buyer
460,576,buyer
460,621,seller
461,527,seller
461,936,buyer
462,9,seller
462,39,seller
462,777,buyer
463,656,seller
463,923,buyer
464,120,buyer
464,412,seller
465,66,landlord
465,777,tenant
466,42,landlord
466,824,tenant
467,207,tenant
467,598,landlord
468,116,buyer
468,582,seller
469,593,seller
469,762,buyer
470,47,buyer
470,415,seller
471,558,seller
471,848,buyer
472,838,tenant
472,971,landlord
473,185,landlord
473,238,tenant
474,319,seller
474,347,buyer
475,543,seller
475,876,buyer
476,449,buyer
476,691,seller
477,280,tenant
477,516,landlord
478,438,seller
478,523,buyer
479,286,tenant
479,643,landlord
479,994,landlord
480,212,buyer
480,274,seller
480,908,seller
481,530,buyer
481,552,seller
482,439,buyer
482,629,seller
483,851,tenant
483,866,landlord
483,918,landlord
484,6,seller
484,425,seller
484,951,buyer
485,285,seller
485,942,buyer
486,366,buyer
486,422,seller
487,177,buyer
487,353,seller
488,512,landlord
488,578,tenant
489,472,tenant
489,911,landlord
490,305,buyer
490,500,seller
490,599,seller
491,81,seller
491,643,buyer
491,763,seller
492,279,tenant
492,460,landlord
493,57,seller
493,265,buyer
494,219,landlord
494,282,tenant
495,591,seller
495,690,seller
495,942,buyer
496,613,buyer
496,785,seller
497,127,tenant
497,382,tenant
497,771,landlord
498,22,buyer
498,969,seller
499,419,landlord
499,745,tenant
500,419,landlord
500,492,tenant
501,287,seller
501,628,buyer
502,40,tenant
502,287,landlord
503,144,landlord
503,202,tenant
503,619,landlord
504,144,landlord
504,619,landlord
504,620,tenant
505,866,landlord
505,1000,tenant
506,23,seller
506,58,buyer
506,454,seller
507,151,buyer
507,960,seller
508,544,tenant
508,960,landlord
509,396,tenant
509,737,landlord
510,47,seller
510,294,seller
510,783,buyer
511,47,seller
511,294,seller
511,739,buyer
512,255,buyer
512,714,seller
513,714,seller
513,762,buyer
514,611,tenant
514,764,landlord
514,811,tenant
515,28,seller
515,64,buyer
515,88,seller
515,861,buyer
516,28,seller
516,772,buyer
517,64,buyer
517,109,seller
517,816,seller
518,811,tenant
518,887,landlord
519,175,seller
519,375,seller
519,458,buyer
520,101,landlord
520,783,tenant
520,982,landlord
521,659,tenant
521,759,landlord
522,509,tenant
522,685,landlord
522,904,tenant
523,458,tenant
523,685,landlord
524,72,buyer
524,167,seller
525,152,buyer
525,167,seller
525,810,buyer
526,191,buyer
526,878,buyer
526,944,seller
527,284,buyer
527,944,seller
528,16,buyer
528,237,seller
529,183,buyer
529,237,seller
530,98,seller
530,722,buyer
530,760,buyer
531,16,buyer
531,98,seller
532,190,seller
532,348,buyer
532,452,seller
533,61,tenant
533,452,landlord
534,82,seller
534,632,buyer
534,718,buyer
535,82,seller
535,230,seller
535,281,buyer
535,440,buyer
536,2,seller
536,975,buyer
537,2,seller
537,491,buyer
538,100,landlord
538,373,tenant
539,100,landlord
539,201,tenant
539,437,landlord
540,303,tenant
540,521,landlord
541,482,tenant
541,521,landlord
542,661,tenant
542,949,landlord
543,227,tenant
543,998,landlord
544,861,buyer
544,998,seller
545,81,landlord
545,488,landlord
545,530,tenant
546,145,landlord
546,307,tenant
546,613,landlord
546,948,tenant
547,515,seller
547,540,buyer
548,740,seller
548,928,buyer
549,168,seller
549,276,buyer
549,349,buyer
550,596,seller
550,957,buyer
551,125,seller
551,528,buyer
552,13,buyer
552,125,seller
553,276,landlord
553,317,tenant
554,276,seller
554,327,buyer
554,711,buyer
555,593,buyer
555,609,buyer
555,980,seller
556,112,buyer
556,461,seller
557,209,landlord
557,544,tenant
557,652,landlord
558,209,landlord
558,379,tenant
558,652,landlord
559,588,seller
559,977,buyer
560,588,landlord
560,778,tenant
561,551,landlord
561,555,tenant
562,551,seller
562,925,buyer
562,961,seller
563,569,seller
563,988,buyer
564,461,tenant
564,629,landlord
565,182,landlord
565,619,tenant
566,543,seller
566,675,buyer
567,527,landlord
567,760,tenant
568,714,landlord
568,745,tenant
569,33,seller
569,361,buyer
569,606,buyer
569,688,seller
570,33,seller
570,101,buyer
570,688,seller
571,62,landlord
571,878,tenant
571,924,landlord
572,461,tenant
572,695,landlord
573,379,tenant
573,695,landlord
574,147,tenant
574,435,landlord
575,97,seller
575,259,buyer
576,437,buyer
576,846,seller
577,782,buyer
577,846,seller
578,405,landlord
578,875,tenant
579,556,tenant
579,642,landlord
580,235,tenant
580,425,landlord
581,350,tenant
581,425,landlord
581,985,landlord
582,34,tenant
582,408,tenant
582,494,landlord
582,513,landlord
583,494,landlord
583,513,landlord
583,610,tenant
584,173,landlord
584,311,tenant
585,180,buyer
585,274,seller
585,710,buyer
586,188,buyer
586,249,seller
586,641,seller
587,389,landlord
587,465,tenant
588,422,buyer
588,452,seller
588,977,buyer
589,452,seller
589,764,buyer
589,990,buyer
590,275,buyer
590,670,seller
591,145,seller
591,288,buyer
591,585,seller
591,819,buyer
592,142,buyer
592,145,seller
593,190,seller
593,795,buyer
594,434,buyer
594,652,seller
594,838,buyer
595,652,landlord
595,957,tenant
596,29,landlord
596,760,tenant
597,541,tenant
597,941,landlord
598,575,buyer
598,941,seller
599,314,landlord
599,778,tenant
600,314,landlord
600,349,tenant
601,82,tenant
601,969,landlord
602,42,seller
602,365,buyer
603,42,seller
603,385,buyer
604,189,landlord
604,284,tenant
604,491,landlord
605,491,seller
605,729,buyer
606,247,landlord
606,634,tenant
607,273,landlord
607,705,landlord
607,760,tenant
608,192,buyer
608,276,seller
608,745,buyer
609,10,seller
609,692,buyer
610,10,seller
610,812,buyer
611,67,seller
611,70,buyer
611,816,seller
612,670,seller
612,967,buyer
613,55,seller
613,118,buyer
614,55,seller
614,617,buyer
614,958,buyer
615,789,buyer
615,842,seller
616,254,buyer
616,842,seller
617,23,landlord
617,467,landlord
617,606,tenant
618,3,seller
618,162,buyer
618,735,seller
619,520,buyer
619,735,seller
620,245,landlord
620,754,tenant
620,988,landlord
621,40,tenant
621,630,landlord
621,801,landlord
622,110,tenant
622,753,landlord
622,801,landlord
623,512,landlord
623,923,tenant
624,512,landlord
624,958,tenant
625,197,landlord
625,644,tenant
626,197,seller
626,512,buyer
627,183,seller
627,462,buyer
628,33,tenant
628,183,landlord
629,856,buyer
629,994,seller
630,679,buyer
630,994,seller
631,232,buyer
631,622,buyer
631,756,seller
632,756,landlord
632,889,tenant
633,76,buyer
633,81,seller
633,187,buyer
633,797,seller
634,81,seller
634,797,seller
634,840,buyer
635,468,landlord
635,563,tenant
636,468,landlord
636,645,tenant
637,155,seller
637,965,buyer
638,192,buyer
638,546,seller
639,546,landlord
639,655,tenant
640,163,tenant
640,319,landlord
641,61,buyer
641,664,seller
642,624,buyer
642,664,seller
643,778,seller
643,981,buyer
644,778,seller
644,926,buyer
645,318,tenant
645,792,landlord
646,392,tenant
646,792,landlord
646,884,tenant
647,659,landlord
647,706,tenant
647,906,tenant
648,234,landlord
648,280,tenant
648,300,landlord
649,64,buyer
649,591,buyer
649,911,seller
650,445,buyer
650,491,seller
651,32,buyer
651,491,seller
652,13,seller
652,475,buyer
652,840,buyer
653,173,landlord
653,360,tenant
654,173,seller
654,784,buyer
655,903,landlord
655,965,tenant
656,903,landlord
656,929,tenant
657,327,seller
657,413,seller
657,553,buyer
658,78,tenant
658,116,tenant
658,389,landlord
659,133,tenant
659,427,tenant
659,735,landlord
660,184,buyer
660,735,seller
661,511,buyer
661,951,seller
662,720,landlord
662,886,tenant
663,197,seller
663,580,buyer
664,181,tenant
664,195,tenant
664,333,landlord
665,59,buyer
665,994,seller
666,753,landlord
666,796,tenant
667,753,landlord
667,968,tenant
668,120,buyer
668,939,seller
669,256,buyer
669,939,seller
670,286,seller
670,977,buyer
671,231,buyer
671,624,buyer
671,870,seller
672,546,landlord
672,774,tenant
673,223,tenant
673,379,landlord
674,344,landlord
674,416,tenant
675,312,tenant
675,939,landlord
676,687,tenant
676,939,landlord
677,90,tenant
677,254,tenant
677,567,landlord
678,567,seller
678,819,buyer
679,207,tenant
679,858,landlord
680,537,tenant
680,858,landlord
681,659,seller
681,798,buyer
682,427,tenant
682,659,landlord
682,854,tenant
683,164,tenant
683,678,landlord
684,146,buyer
684,678,seller
685,294,tenant
685,390,landlord
686,19,tenant
686,666,landlord
686,686,landlord
687,612,buyer
687,666,seller
687,686,seller
688,584,buyer
688,735,seller
688,851,buyer
689,8,landlord
689,93,landlord
689,133,tenant
689,536,tenant
690,93,seller
690,545,buyer
691,494,seller
691,954,buyer
692,199,buyer
692,494,seller
693,564,landlord
693,633,tenant
694,621,tenant
694,709,landlord
695,282,buyer
695,709,seller
696,469,seller
696,835,buyer
697,191,buyer
697,469,seller
698,576,buyer
698,813,buyer
698,821,seller
699,82,tenant
699,821,landlord
700,13,seller
700,220,buyer
