inquiry_id,client_id,listing_id,inquiry_date,inquiry_channel,inquiry_status
543,231,988,2024-03-29,phone,followed up
544,33,892,2024-10-24,phone,followed up
545,481,97,2023-06-17,website,closed
546,927,589,2021-07-28,website,closed
547,57,911,2024-10-09,website,followed up
548,884,958,2024-02-08,website,closed
549,221,615,2024-02-09,email,followed up
550,777,312,2023-01-28,email,open
551,498,417,2024-09-10,website,open
552,687,970,2024-09-25,website,closed
553,76,142,2024-04-10,phone,open
554,136,792,2022-06-15,email,open
555,714,913,2021-07-22,website,closed
556,761,985,2021-09-10,referral,closed
557,491,342,2023-09-20,website,open
558,124,501,2023-08-21,email,open
559,51,658,2022-05-16,website,followed up
560,191,661,2024-06-05,phone,closed
561,201,157,2022-04-18,email,open
562,637,195,2024-12-28,email,closed
563,643,253,2023-08-26,website,followed up
564,943,213,2021-07-31,walk-in,closed
565,913,147,2021-09-26,phone,closed
566,952,336,2022-07-30,email,open
567,644,609,2022-04-20,website,closed
568,231,354,2024-11-25,website,closed
569,91,52,2022-08-09,website,followed up
570,255,283,2024-02-08,referral,closed
571,403,65,2021-09-13,email,followed up
572,708,902,2023-06-23,website,followed up
573,22,501,2023-10-25,phone,followed up
574,73,206,2023-07-17,email,followed up
575,977,958,2023-12-24,website,closed
576,240,941,2022-09-26,email,closed
577,904,829,2023-01-21,website,closed
578,836,158,2023-04-16,phone,followed up
579,16,744,2021-09-06,phone,followed up
580,212,268,2024-04-02,referral,open
581,458,45,2024-06-07,website,closed
582,830,979,2022-10-10,email,closed
583,361,215,2021-12-17,referral,open
584,900,103,2023-05-13,website,followed up
585,818,783,2022-01-08,website,closed
586,123,433,2023-12-16,website,followed up
587,663,678,2023-09-14,walk-in,followed up
588,214,594,2022-11-15,website,closed
589,851,986,2024-03-08,website,closed
590,119,562,2022-03-23,website,closed
591,987,483,2023-04-18,website,open
592,994,244,2024-06-18,walk-in,closed
593,539,914,2021-12-27,website,open
594,765,7,2021-09-23,phone,closed
595,718,694,2024-01-31,website,closed
596,379,784,2023-01-22,website,closed
597,388,298,2021-10-03,website,followed up
598,141,467,2022-01-08,website,followed up
599,638,173,2024-09-03,email,closed
600,593,779,2024-04-17,website,followed up
601,608,218,2024-01-03,website,followed up
602,366,606,2024-10-08,email,closed
603,574,291,2023-09-18,website,closed
604,544,348,2023-12-04,website,followed up
605,337,271,2021-10-24,website,closed
606,773,855,2021-08-30,website,open
607,878,739,2021-05-29,website,followed up
608,554,65,2021-10-16,website,closed
609,878,806,2025-02-07,website,followed up
610,307,136,2023-10-27,website,closed
611,953,655,2024-02-13,phone,closed
612,181,843,2024-12-03,walk-in,open
613,61,188,2022-11-25,email,followed up
614,75,982,2024-02-28,email,closed
615,96,203,2023-03-19,walk-in,followed up
616,954,989,2024-03-26,website,followed up
617,874,794,2021-07-18,website,followed up
618,65,986,2024-03-15,website,closed
619,506,56,2021-07-17,walk-in,closed
620,346,402,2021-08-15,website,followed up
621,795,14,2022-06-01,website,closed
622,309,190,2022-03-30,website,closed
623,862,56,2021-06-30,website,open
624,559,581,2025-03-10,email,closed
625,729,255,2023-02-23,website,open
626,594,425,2024-04-25,referral,open
627,702,256,2022-01-16,website,closed
628,625,679,2021-02-28,email,closed
629,165,486,2023-08-24,website,followed up
630,943,661,2024-05-06,phone,followed up
631,662,682,2024-04-07,email,closed
632,682,586,2024-03-28,email,followed up
633,82,677,2023-06-21,referral,followed up
634,593,781,2023-02-22,email,open
635,397,582,2024-08-13,website,closed
636,710,813,2023-08-05,website,open
637,422,595,2024-10-23,website,open
638,508,541,2021-09-02,website,open
639,361,803,2021-04-04,referral,closed
640,311,825,2022-07-23,website,followed up
641,611,210,2023-06-25,email,closed
642,511,717,2021-06-27,referral,closed
643,774,387,2023-08-24,website,open
644,321,33,2024-08-23,email,followed up
645,836,552,2022-03-01,phone,followed up
646,274,476,2022-06-18,phone,followed up
647,408,823,2023-10-13,phone,closed
648,889,896,2023-03-13,walk-in,closed
649,496,269,2021-09-11,website,followed up
650,914,277,2024-04-08,referral,closed
651,740,83,2021-09-23,website,open
652,242,629,2021-05-27,email,closed
653,620,941,2022-10-25,website,followed up
654,386,241,2023-04-29,website,closed
655,646,575,2023-03-31,email,followed up
656,942,31,2023-11-28,website,followed up
657,762,718,2021-09-21,website,closed
658,459,812,2024-07-22,website,closed
659,577,402,2021-08-23,email,closed
660,545,992,2024-07-24,website,followed up
661,539,167,2023-10-09,website,closed
662,392,918,2022-07-24,website,open
663,340,283,2024-03-08,phone,followed up
664,98,234,2023-02-18,email,open
665,194,539,2024-04-27,email,followed up
666,944,604,2021-11-08,email,closed
667,611,445,2023-11-14,website,closed
668,165,759,2021-11-22,website,open
669,893,73,2025-03-10,website,followed up
670,400,53,2022-05-04,website,closed
671,593,292,2022-01-22,email,closed
672,594,246,2024-01-18,email,closed
673,789,396,2022-10-17,website,followed up
674,280,922,2021-12-25,email,open
675,70,682,2024-03-15,website,followed up
676,886,734,2024-11-11,phone,closed
677,861,721,2021-02-13,phone,open
678,629,838,2023-05-16,referral,open
679,592,488,2021-08-01,website,closed
680,207,721,2021-02-14,website,closed
681,231,182,2022-02-04,email,followed up
682,574,326,2022-05-23,website,open
683,116,661,2024-03-29,phone,open
684,958,114,2023-02-11,website,closed
685,544,712,2023-06-26,website,followed up
686,638,86,2023-07-30,referral,closed
687,535,698,2021-06-17,referral,closed
688,196,830,2023-05-20,phone,followed up
689,951,218,2024-04-13,website,closed
690,247,174,2021-09-05,website,followed up
691,119,233,2022-05-30,phone,closed
692,78,748,2022-09-28,email,followed up
693,962,487,2024-01-17,website,closed
694,407,248,2021-10-11,website,closed
695,718,176,2021-09-12,website,open
696,293,140,2023-09-17,website,open
697,777,656,2024-05-16,walk-in,followed up
698,549,876,2022-03-31,website,followed up
699,338,153,2021-11-04,email,followed up
700,789,614,2022-08-14,email,followed up
701,391,626,2024-06-19,referral,followed up
702,32,357,2023-04-16,email,closed
703,942,179,2021-05-02,website,followed up
704,385,417,2024-08-07,website,closed
705,948,763,2021-08-23,phone,closed
706,235,898,2025-01-15,website,followed up
707,997,542,2021-04-24,email,open
708,200,984,2022-12-03,phone,followed up
709,854,291,2023-09-02,website,closed
710,841,955,2021-11-14,website,closed
711,162,826,2023-05-19,phone,closed
712,313,433,2023-12-31,phone,open
713,392,696,2022-05-01,website,closed
714,818,827,2022-05-07,website,followed up
715,208,481,2023-11-11,phone,followed up
716,446,593,2021-07-12,website,open
717,232,3,2023-05-23,website,closed
718,335,962,2024-06-20,website,followed up
719,355,148,2024-06-17,phone,open
720,671,612,2022-05-13,referral,open
721,591,766,2024-04-20,website,followed up
722,368,112,2021-12-18,website,open
723,119,371,2022-03-08,website,followed up
724,129,656,2024-05-04,referral,followed up
725,814,193,2024-10-18,website,closed
726,216,572,2023-06-04,phone,open
727,1000,449,2023-08-12,website,closed
728,662,886,2023-07-04,website,followed up
729,791,226,2021-07-19,website,closed
730,271,527,2021-07-09,website,open
731,974,802,2024-05-13,email,followed up
732,707,218,2024-04-16,website,closed
733,838,519,2024-10-20,website,followed up
734,621,780,2024-05-09,website,open
735,61,585,2022-01-23,email,closed
736,762,884,2023-05-15,website,open
737,500,958,2024-02-17,website,closed
738,462,665,2024-07-10,phone,open
739,303,755,2022-09-04,walk-in,followed up
740,891,488,2021-08-09,website,open
741,337,338,2024-01-24,website,closed
742,778,786,2024-06-22,email,followed up
743,271,169,2021-10-08,referral,followed up
744,561,108,2023-07-15,phone,closed
745,393,888,2022-10-07,website,closed
746,523,270,2024-06-15,website,closed
747,265,866,2024-05-11,phone,followed up
