transaction_id,listing_id,agent_employee_id,transaction_type,transaction_status,transaction_amount,monthly_rent,lease_start_date,lease_end_date,closing_date,commission_amount
58,78,6,rental,closed,,5088.75,2023-03-10,2025-03-09,2023-02-12,3816.56
59,79,4,rental,closed,,17404.16,2023-08-24,2024-08-23,2023-07-30,17404.16
60,81,29,rental,pending,,,,,,
61,82,57,rental,closed,,6847.4,2023-05-19,2024-05-18,2023-04-26,3423.7
62,83,9,rental,pending,,,,,,
63,84,27,rental,closed,,7290.97,2021-07-01,2023-07-01,2021-06-10,7290.97
64,85,31,sale,closed,2296632.0,,,,2022-03-02,57415.8
65,86,22,sale,closed,985863.0,,,,2023-08-28,29575.89
66,88,26,sale,closed,809015.0,,,,2024-09-22,24270.45
67,90,65,sale,pending,,,,,,
68,91,3,rental,closed,,10011.31,2023-11-19,2025-11-18,2023-10-26,7508.48
69,92,69,sale,closed,1449178.0,,,,2023-08-28,36229.45
70,95,20,sale,closed,1426166.0,,,,2021-12-14,35654.15
71,97,50,sale,closed,1065759.0,,,,2023-08-23,21315.18
72,98,53,sale,closed,1665030.0,,,,2024-09-10,41625.75
73,99,21,rental,closed,,6762.68,2022-03-06,2024-03-05,2022-02-21,6762.68
74,100,45,rental,pending,,,,,,
75,102,62,sale,closed,987244.0,,,,2023-08-07,24681.1
76,103,4,sale,pending,,,,,,
77,104,59,sale,closed,1208430.0,,,,2025-02-02,36252.9
78,105,21,rental,pending,,,,,,
79,106,51,rental,closed,,12265.1,2021-11-11,2022-11-11,2021-11-02,12265.1
80,107,55,sale,closed,1997251.0,,,,2021-08-19,49931.28
81,108,65,sale,closed,933718.0,,,,2023-08-28,18674.36
82,109,12,rental,closed,,14053.65,2023-07-23,2025-07-22,2023-06-26,10540.24
83,111,40,sale,closed,2194646.0,,,,2022-11-01,65839.38
84,112,13,rental,closed,,10130.08,2022-01-26,2024-01-26,2021-12-29,5065.04
85,113,56,rental,closed,,8421.67,2023-09-03,2025-09-02,2023-08-05,4210.84
86,114,26,rental,closed,,7414.08,2023-04-14,2024-04-13,2023-03-31,7414.08
87,115,28,rental,closed,,15935.39,2024-03-18,2026-03-18,2024-03-08,11951.54
88,116,34,sale,closed,939380.0,,,,2021-07-07,28181.4
89,117,14,rental,closed,,12994.42,2023-10-30,2024-10-29,2023-10-12,12994.42
90,118,49,rental,closed,,9979.0,2022-02-02,2023-02-02,2022-01-15,9979.0
91,120,35,sale,pending,,,,,,
92,121,13,sale,closed,984690.0,,,,2021-02-12,29540.7
93,123,55,sale,closed,767929.0,,,,2024-02-16,15358.58
94,124,31,rental,pending,,,,,,
95,125,46,sale,closed,2600524.0,,,,2023-04-29,52010.48
96,126,18,rental,closed,,10493.48,2021-12-02,2023-12-02,2021-11-22,5246.74
97,129,3,sale,closed,1776132.0,,,,2022-04-30,44403.3
98,130,57,sale,closed,1450573.0,,,,2021-07-14,29011.46
99,131,11,sale,closed,1131509.0,,,,2024-03-12,33945.27
100,132,13,sale,pending,,,,,,
101,133,67,sale,closed,2363560.0,,,,2022-10-18,70906.8
102,135,71,sale,pending,,,,,,
103,137,22,sale,closed,1731520.0,,,,2024-03-25,51945.6
104,138,21,sale,closed,608467.0,,,,2021-07-28,12169.34
105,140,18,sale,closed,907621.0,,,,2023-10-22,22690.53
106,141,43,sale,closed,1008820.0,,,,2024-08-31,25220.5
107,144,30,sale,closed,1108624.0,,,,2024-07-03,33258.72
108,145,12,sale,closed,2339566.0,,,,2021-10-10,58489.15
109,147,1,sale,closed,2720827.0,,,,2022-01-11,54416.54
110,148,55,sale,closed,743948.0,,,,2024-08-18,14878.96
111,149,17,sale,pending,,,,,,
112,150,51,sale,closed,2188667.0,,,,2024-07-01,65660.01
113,151,29,rental,closed,,9857.72,2023-12-02,2025-12-01,2023-11-03,7393.29
114,154,62,sale,closed,1800869.0,,,,2022-02-21,36017.38
115,155,8,sale,closed,596882.0,,,,2022-07-10,14922.05
116,156,27,sale,pending,,,,,,
117,157,23,rental,closed,,6072.37,2022-05-16,2024-05-15,2022-05-07,4554.28
118,158,3,rental,closed,,9755.68,2023-06-10,2024-06-09,2023-05-11,9755.68
119,160,37,sale,closed,592801.0,,,,2023-06-10,14820.03
120,161,71,sale,pending,,,,,,
121,162,7,rental,closed,,6384.92,2022-03-21,2023-03-21,2022-03-11,3192.46
122,163,18,rental,closed,,5380.7,2022-11-29,2023-11-29,2022-11-13,5380.7
123,167,22,sale,pending,,,,,,
124,169,56,sale,closed,1558217.0,,,,2021-12-11,31164.34
125,170,5,rental,closed,,12049.86,2024-10-10,2026-10-10,2024-09-26,12049.86
126,171,23,sale,closed,1161431.0,,,,2023-09-10,34842.93
127,172,60,sale,closed,1391799.0,,,,2023-03-20,27835.98
128,174,63,rental,closed,,4563.52,2021-11-09,2023-11-09,2021-10-22,4563.52
129,175,62,sale,closed,1164226.0,,,,2024-04-26,34926.78
130,177,39,sale,pending,,,,,,
131,178,69,rental,pending,,,,,,
132,179,68,sale,closed,2304872.0,,,,2021-07-15,57621.8
133,180,16,rental,closed,,18741.95,2024-05-31,2026-05-31,2024-05-02,9370.98
134,181,24,rental,closed,,12735.99,2022-05-08,2023-05-08,2022-04-18,6367.99
135,182,58,sale,pending,,,,,,
136,183,27,sale,closed,1862238.0,,,,2022-02-21,55867.14
137,184,5,sale,pending,,,,,,
138,185,70,sale,closed,2457947.0,,,,2022-01-02,73738.41
139,186,67,sale,closed,1951711.0,,,,2021-01-30,39034.22
140,187,18,rental,closed,,6687.91,2023-01-28,2024-01-28,2023-01-02,6687.91
141,190,18,rental,closed,,14821.98,2022-04-20,2023-04-20,2022-04-04,7410.99
142,192,33,rental,closed,,4335.05,2024-12-13,2025-12-13,2024-12-03,4335.05
143,193,59,rental,closed,,5346.21,2025-01-07,2026-01-07,2024-12-21,4009.66
144,194,69,rental,closed,,6520.74,2022-08-25,2023-08-25,2022-07-29,3260.37
145,197,56,rental,closed,,9199.69,2023-09-13,2024-09-12,2023-08-16,4599.85
146,198,16,sale,closed,718181.0,,,,2024-08-16,17954.53
147,199,43,sale,pending,,,,,,
148,201,49,rental,closed,,5536.79,2022-06-20,2024-06-19,2022-05-21,2768.39
149,202,16,rental,closed,,11119.41,2022-05-28,2023-05-28,2022-05-15,8339.56
150,205,22,sale,closed,1517698.0,,,,2024-06-28,30353.96
151,206,69,sale,pending,,,,,,
152,207,34,rental,closed,,4901.9,2023-06-14,2024-06-13,2023-05-25,3676.42
153,209,32,rental,closed,,4662.94,2022-11-03,2023-11-03,2022-10-22,3497.2
154,210,24,sale,pending,,,,,,
155,211,37,rental,closed,,4152.28,2023-05-28,2024-05-27,2023-05-21,4152.28
156,212,30,rental,pending,,,,,,
157,213,41,rental,closed,,11286.88,2021-11-18,2022-11-18,2021-10-28,5643.44
158,214,31,rental,pending,,,,,,
159,215,37,rental,closed,,18542.49,2022-01-21,2023-01-21,2022-01-13,9271.25
160,216,55,rental,closed,,22050.12,2023-11-03,2024-11-02,2023-10-27,11025.06
161,219,55,rental,closed,,16475.93,2022-03-05,2023-03-05,2022-02-13,8237.97
162,223,49,sale,pending,,,,,,
163,224,32,sale,pending,,,,,,
164,229,39,rental,closed,,6529.42,2021-05-25,2022-05-25,2021-04-25,6529.42
165,230,52,sale,closed,1081031.0,,,,2021-03-17,27025.78
166,231,11,sale,closed,1106837.0,,,,2021-10-03,27670.93
167,232,1,sale,closed,1091335.0,,,,2022-04-02,32740.05
168,233,51,rental,pending,,,,,,
169,235,21,rental,closed,,10174.72,2021-12-27,2022-12-27,2021-12-19,10174.72
170,236,15,sale,closed,2102343.0,,,,2023-08-15,52558.58
171,237,54,rental,pending,,,,,,
172,238,62,sale,closed,812034.0,,,,2021-05-13,20300.85
173,240,65,sale,closed,1302630.0,,,,2022-01-16,26052.6
174,242,2,rental,closed,,5561.06,2022-02-25,2024-02-25,2022-02-09,4170.8
175,243,44,sale,pending,,,,,,
176,244,62,sale,closed,1096248.0,,,,2024-09-13,32887.44
177,245,32,sale,closed,2391396.0,,,,2024-01-28,59784.9
178,246,15,sale,closed,1274274.0,,,,2024-02-11,31856.85
179,247,26,rental,closed,,3841.04,2022-10-08,2023-10-08,2022-09-26,3841.04
180,249,20,sale,closed,1475506.0,,,,2022-07-10,36887.65
181,250,25,rental,closed,,6705.17,2022-01-14,2023-01-14,2021-12-25,3352.59
182,252,30,sale,closed,1707427.0,,,,2023-05-25,42685.68
183,253,66,sale,pending,,,,,,
184,255,41,rental,closed,,9968.91,2023-03-27,2024-03-26,2023-03-11,9968.91
185,256,42,sale,closed,2268461.0,,,,2022-02-08,45369.22
186,259,71,rental,closed,,4760.72,2021-09-25,2022-09-25,2021-09-07,2380.36
187,260,47,sale,pending,,,,,,
188,261,48,sale,pending,,,,,,
189,262,12,sale,closed,2291649.0,,,,2022-11-13,45832.98
190,263,16,rental,pending,,,,,,
191,265,44,sale,closed,1160213.0,,,,2021-12-26,29005.33
192,266,69,sale,closed,850230.0,,,,2023-11-07,17004.6
193,267,71,rental,closed,,5181.6,2021-08-18,2022-08-18,2021-08-03,5181.6
194,268,58,sale,closed,1687099.0,,,,2024-06-12,42177.48
195,269,62,sale,closed,1470626.0,,,,2021-10-03,36765.65
196,271,8,rental,closed,,9627.2,2022-03-13,2024-03-12,2022-03-03,9627.2
197,273,10,rental,pending,,,,,,
198,274,52,sale,closed,1890013.0,,,,2024-03-06,56700.39
199,275,28,sale,closed,1308399.0,,,,2022-04-27,32709.98
200,276,66,sale,pending,,,,,,
201,278,29,rental,closed,,12699.24,2022-09-25,2023-09-25,2022-09-03,12699.24
202,279,19,rental,pending,,,,,,
203,280,7,rental,closed,,5830.87,2022-11-08,2023-11-08,2022-10-18,2915.43
204,281,27,sale,pending,,,,,,
205,282,48,rental,closed,,12502.52,2021-07-15,2022-07-15,2021-07-01,12502.52
206,283,53,sale,closed,1227131.0,,,,2024-03-22,30678.28
207,284,2,rental,closed,,6198.53,2022-10-09,2024-10-08,2022-09-28,6198.53
208,285,23,rental,closed,,6440.17,2022-07-21,2023-07-21,2022-06-23,3220.09
209,286,14,sale,pending,,,,,,
210,287,71,rental,closed,,5603.17,2023-06-09,2024-06-08,2023-05-16,4202.38
211,288,35,sale,pending,,,,,,
212,290,12,sale,closed,1093641.0,,,,2023-10-26,32809.23
213,291,25,sale,closed,802801.0,,,,2023-10-01,20070.03
214,292,40,sale,closed,1556578.0,,,,2022-01-28,31131.56
215,295,18,rental,closed,,6122.06,2023-10-01,2024-09-30,2023-09-04,3061.03
216,296,50,sale,closed,1987057.0,,,,2021-05-19,39741.14
217,297,17,rental,closed,,11569.98,2021-03-24,2022-03-24,2021-02-26,5784.99
218,298,2,sale,closed,1256266.0,,,,2021-12-16,31406.65
219,299,14,sale,pending,,,,,,
220,300,26,sale,closed,2931821.0,,,,2023-01-03,58636.42
221,302,35,sale,closed,438182.0,,,,2022-04-19,10954.55
222,303,14,sale,closed,820582.0,,,,2021-10-09,24617.46
223,304,19,rental,closed,,5515.32,2021-12-22,2022-12-22,2021-12-01,4136.49
224,305,50,sale,closed,1689392.0,,,,2022-08-10,33787.84
225,307,46,rental,closed,,11289.9,2021-11-19,2023-11-19,2021-11-12,8467.42
226,308,6,rental,closed,,6680.97,2023-01-04,2024-01-04,2022-12-24,5010.73
227,309,43,sale,pending,,,,,,
228,310,39,rental,pending,,,,,,
229,311,35,sale,closed,2069839.0,,,,2022-09-24,41396.78
230,312,1,sale,closed,1232942.0,,,,2023-03-04,36988.26
231,314,62,rental,pending,,,,,,
232,318,32,sale,pending,,,,,,
233,319,64,sale,closed,829614.0,,,,2024-07-03,20740.35
234,320,54,sale,pending,,,,,,
235,321,31,sale,pending,,,,,,
236,322,47,rental,closed,,18972.89,2022-03-27,2024-03-26,2022-03-15,18972.89
237,323,45,sale,closed,484895.0,,,,2021-11-03,9697.9
238,329,21,rental,closed,,15754.43,2021-12-17,2022-12-17,2021-11-18,15754.43
239,331,61,rental,closed,,4251.41,2023-08-02,2024-08-01,2023-07-06,3188.56
240,332,61,sale,closed,2435358.0,,,,2024-03-20,60883.95
241,333,37,rental,closed,,4570.96,2022-12-20,2023-12-20,2022-12-13,2285.48
242,338,28,rental,closed,,15668.48,2024-02-06,2026-02-05,2024-01-24,15668.48
243,339,72,rental,closed,,11923.52,2021-07-18,2022-07-18,2021-06-29,8942.64
244,341,49,sale,pending,,,,,,
245,342,25,sale,pending,,,,,,
246,343,43,rental,closed,,6066.86,2022-02-03,2023-02-03,2022-01-21,6066.86
247,346,5,sale,pending,,,,,,
248,347,6,sale,closed,1082919.0,,,,2021-12-03,32487.57
249,348,12,sale,closed,1564709.0,,,,2023-12-25,46941.27
250,349,51,sale,closed,956702.0,,,,2021-04-18,28701.06
251,350,17,sale,closed,1956537.0,,,,2023-01-24,48913.43
252,351,65,sale,pending,,,,,,
253,352,62,sale,closed,1217958.0,,,,2022-02-27,30448.95
254,353,60,sale,closed,1116950.0,,,,2021-05-13,22339.0
255,355,65,rental,closed,,8570.59,2024-11-09,2025-11-09,2024-10-30,4285.3
256,356,58,sale,closed,740790.0,,,,2024-09-13,14815.8
257,357,56,sale,closed,2161392.0,,,,2023-05-22,54034.8
258,358,10,sale,closed,1675530.0,,,,2023-08-26,33510.6
259,360,71,sale,closed,1701395.0,,,,2021-05-08,51041.85
260,361,41,sale,closed,2287237.0,,,,2021-11-09,45744.74
261,363,59,rental,closed,,4732.74,2023-03-14,2024-03-13,2023-02-26,3549.55
262,365,63,rental,closed,,7408.01,2022-04-25,2023-04-25,2022-03-27,7408.01
263,366,17,sale,closed,2139665.0,,,,2023-02-03,64189.95
264,369,8,sale,pending,,,,,,
265,370,2,sale,closed,1951552.0,,,,2022-10-25,58546.56
266,371,21,rental,pending,,,,,,
267,374,56,sale,closed,1277141.0,,,,2021-12-07,25542.82
268,376,61,rental,pending,,,,,,
269,380,55,sale,closed,1668885.0,,,,2022-04-06,41722.12
270,381,9,rental,closed,,6115.39,2024-10-08,2026-10-08,2024-09-17,6115.39
271,385,45,sale,pending,,,,,,
272,386,21,rental,pending,,,,,,
273,387,50,rental,closed,,8693.23,2023-12-20,2024-12-19,2023-11-25,4346.61
274,388,26,sale,closed,2788873.0,,,,2024-08-11,55777.46
275,389,41,sale,closed,1097465.0,,,,2024-07-08,27436.62
276,390,41,sale,closed,1768213.0,,,,2023-12-21,35364.26
277,391,1,rental,pending,,,,,,
278,393,70,sale,pending,,,,,,
279,394,27,rental,closed,,8867.49,2024-09-16,2025-09-16,2024-08-30,6650.62
280,395,47,sale,closed,1526255.0,,,,2024-07-17,38156.38
281,396,64,sale,closed,1131904.0,,,,2022-11-09,28297.6
282,397,46,sale,closed,1203789.0,,,,2023-11-08,24075.78
283,398,15,sale,closed,982267.0,,,,2023-09-03,19645.34
284,400,49,rental,pending,,,,,,
285,401,13,rental,closed,,5529.08,2023-12-19,2024-12-18,2023-12-08,5529.08
286,402,53,rental,closed,,7617.61,2021-09-07,2022-09-07,2021-08-23,3808.8
287,403,57,sale,closed,1772780.0,,,,2024-08-13,53183.4
288,404,28,sale,closed,3079071.0,,,,2021-07-11,61581.42
289,405,26,rental,closed,,16443.62,2023-09-26,2025-09-25,2023-09-06,12332.72
290,406,60,sale,pending,,,,,,
291,407,1,rental,closed,,12550.93,2024-12-31,2025-12-31,2024-12-10,6275.47
292,408,34,rental,closed,,11472.36,2022-07-15,2023-07-15,2022-06-29,5736.18
293,411,41,rental,closed,,4261.82,2024-05-26,2026-05-26,2024-05-18,3196.36
294,412,72,rental,closed,,11682.7,2024-06-28,2025-06-28,2024-06-04,5841.35
295,413,7,rental,closed,,7808.78,2022-06-10,2023-06-10,2022-05-28,7808.78
296,414,50,sale,closed,1235881.0,,,,2024-09-25,37076.43
297,415,67,rental,closed,,6179.98,2022-04-25,2023-04-25,2022-03-31,3089.99
298,417,34,rental,closed,,13647.23,2024-12-06,2025-12-06,2024-11-12,6823.61
299,418,12,sale,closed,1201491.0,,,,2022-01-31,36044.73
300,419,20,rental,closed,,7273.1,2023-12-19,2024-12-18,2023-12-01,7273.1
301,420,49,sale,closed,1596013.0,,,,2024-02-26,39900.33
302,422,25,sale,closed,2001778.0,,,,2024-12-01,60053.34
303,424,3,sale,closed,471818.0,,,,2022-09-10,11795.45
304,425,59,sale,closed,1460165.0,,,,2024-05-17,29203.3
305,426,34,rental,closed,,7775.76,2021-12-31,2023-12-31,2021-12-08,3887.88
306,427,27,rental,closed,,7053.13,2021-11-04,2022-11-04,2021-10-28,3526.57
307,430,21,rental,closed,,9408.85,2023-02-25,2025-02-24,2023-02-15,9408.85
308,431,5,sale,closed,1206208.0,,,,2021-07-03,36186.24
309,433,25,rental,closed,,12534.27,2024-02-02,2026-02-01,2024-01-23,9400.7
310,434,20,sale,closed,1235802.0,,,,2024-05-31,37074.06
311,435,4,rental,closed,,4907.72,2023-04-24,2025-04-23,2023-04-01,4907.72
312,436,17,sale,pending,,,,,,
313,437,45,sale,closed,996379.0,,,,2023-10-25,29891.37
314,438,64,sale,pending,,,,,,
315,440,40,sale,closed,796267.0,,,,2022-09-12,23888.01
316,446,46,rental,closed,,13364.75,2025-02-03,2026-02-03,2025-01-14,13364.75
317,447,55,rental,closed,,6177.35,2021-12-16,2022-12-16,2021-12-01,4633.01
318,450,28,sale,closed,1955550.0,,,,2023-01-25,58666.5
319,453,10,sale,pending,,,,,,
320,454,41,sale,closed,1936409.0,,,,2024-12-23,38728.18
321,460,6,sale,pending,,,,,,
322,461,54,rental,closed,,3948.59,2021-04-09,2022-04-09,2021-03-17,2961.44
323,462,52,rental,closed,,15722.81,2022-11-11,2023-11-11,2022-10-31,11792.11
324,463,51,sale,closed,2247873.0,,,,2022-11-03,67436.19
325,465,7,rental,pending,,,,,,
326,466,56,sale,closed,952006.0,,,,2022-01-20,23800.15
327,467,48,rental,pending,,,,,,
328,468,34,rental,closed,,4285.65,2024-02-29,2026-02-28,2024-02-06,2142.82
329,469,39,rental,pending,,,,,,
330,470,35,sale,closed,1347869.0,,,,2023-03-01,26957.38
331,473,62,sale,closed,960426.0,,,,2024-05-18,28812.78
332,474,62,sale,pending,,,,,,
333,475,46,sale,closed,961982.0,,,,2022-08-03,24049.55
334,476,10,sale,closed,1882144.0,,,,2022-07-21,56464.32
335,477,2,sale,pending,,,,,,
336,481,29,rental,closed,,7177.81,2024-01-13,2025-01-12,2023-12-21,7177.81
337,482,66,rental,closed,,7482.18,2023-09-14,2025-09-13,2023-08-24,3741.09
338,483,36,sale,pending,,,,,,
339,484,14,rental,closed,,8008.28,2023-04-01,2024-03-31,2023-03-06,8008.28
340,486,61,rental,closed,,10307.87,2023-09-22,2025-09-21,2023-08-27,10307.87
341,487,16,sale,pending,,,,,,
342,488,20,sale,closed,862495.0,,,,2021-09-02,25874.85
343,489,57,sale,closed,757741.0,,,,2023-07-03,15154.82
344,490,49,rental,pending,,,,,,
345,492,67,sale,closed,1575863.0,,,,2022-12-11,31517.26
346,493,15,rental,pending,,,,,,
347,494,35,sale,closed,1278459.0,,,,2021-10-01,38353.77
348,495,52,rental,closed,,2735.79,2024-04-03,2025-04-03,2024-03-10,1367.89
349,496,64,sale,closed,817520.0,,,,2021-10-21,24525.6
350,497,37,rental,pending,,,,,,
351,499,40,rental,pending,,,,,,
352,500,22,rental,closed,,7306.63,2022-06-15,2024-06-14,2022-06-08,5479.97
353,505,38,sale,pending,,,,,,
354,506,19,sale,pending,,,,,,
355,507,58,rental,closed,,7288.0,2021-11-15,2022-11-15,2021-11-04,5466.0
356,508,63,sale,closed,2932911.0,,,,2023-03-13,73322.78
357,509,39,sale,closed,1624770.0,,,,2023-11-14,48743.1
358,510,62,sale,pending,,,,,,
359,511,19,sale,closed,1609275.0,,,,2023-12-23,32185.5
360,512,46,rental,closed,,8732.59,2022-06-07,2023-06-07,2022-05-21,8732.59
361,513,47,sale,closed,1672011.0,,,,2022-09-21,33440.22
362,515,70,rental,pending,,,,,,
363,517,54,sale,closed,597004.0,,,,2023-04-13,11940.08
364,518,67,sale,closed,1139729.0,,,,2022-08-17,28493.23
365,519,45,sale,closed,1294866.0,,,,2024-10-20,32371.65
366,520,19,rental,pending,,,,,,
367,521,38,sale,pending,,,,,,
368,523,6,sale,pending,,,,,,
369,524,40,rental,closed,,10912.76,2024-10-05,2025-10-05,2024-09-19,10912.76
370,525,7,sale,closed,1837761.0,,,,2023-01-10,45944.03
371,526,72,sale,closed,1130897.0,,,,2023-05-14,33926.91
372,527,26,sale,closed,794146.0,,,,2021-08-19,19853.65
373,528,61,rental,closed,,8619.5,2021-08-01,2022-08-01,2021-07-11,6464.62
374,529,55,sale,closed,1737214.0,,,,2022-09-18,52116.42
375,531,18,sale,closed,1707460.0,,,,2023-09-20,51223.8
376,532,54,rental,pending,,,,,,
377,533,60,sale,closed,1250801.0,,,,2022-12-12,25016.02
378,534,56,sale,pending,,,,,,
379,535,41,sale,pending,,,,,,
380,536,55,rental,pending,,,,,,
381,537,4,sale,closed,985058.0,,,,2023-09-29,24626.45
382,538,39,sale,closed,1219371.0,,,,2023-07-05,24387.42
383,539,70,sale,closed,993058.0,,,,2024-05-23,24826.45
384,540,17,rental,closed,,4352.07,2023-01-02,2024-01-02,2022-12-20,4352.07
385,541,67,rental,pending,,,,,,
386,542,14,sale,closed,543202.0,,,,2021-07-18,10864.04
387,544,66,rental,closed,,8918.68,2021-11-17,2022-11-17,2021-10-19,8918.68
388,545,19,rental,closed,,10559.85,2021-09-30,2022-09-30,2021-09-16,10559.85
389,546,20,rental,pending,,,,,,
390,547,63,rental,closed,,6893.95,2022-10-29,2024-10-28,2022-10-18,3446.97
391,552,34,sale,closed,1386075.0,,,,2022-06-18,41582.25
392,553,16,sale,closed,2610185.0,,,,2023-12-11,52203.7
393,554,19,sale,pending,,,,,,
394,555,26,sale,closed,617770.0,,,,2022-10-12,18533.1
395,556,64,rental,closed,,5753.26,2022-10-18,2023-10-18,2022-09-29,4314.94
396,557,60,sale,closed,1105583.0,,,,2022-09-01,27639.58
397,558,59,sale,closed,719002.0,,,,2023-08-19,21570.06
398,560,46,sale,pending,,,,,,
399,561,36,rental,closed,,15693.17,2024-01-21,2025-01-20,2023-12-30,15693.17
400,562,65,sale,pending,,,,,,
401,563,9,rental,pending,,,,,,
402,564,44,rental,closed,,14755.14,2022-04-27,2024-04-26,2022-04-18,14755.14
403,565,51,rental,closed,,7306.65,2022-02-02,2023-02-02,2022-01-17,3653.32
404,566,61,rental,pending,,,,,,
405,568,45,rental,closed,,9980.83,2023-04-18,2025-04-17,2023-04-10,9980.83
406,569,21,rental,closed,,10015.47,2023-05-23,2024-05-22,2023-05-02,5007.73
407,570,42,sale,closed,1765837.0,,,,2021-12-23,52975.11
408,571,50,sale,closed,1463826.0,,,,2022-07-01,43914.78
409,572,33,rental,closed,,11647.86,2023-06-20,2024-06-19,2023-06-13,8735.9
410,574,14,rental,closed,,11006.17,2021-07-10,2022-07-10,2021-06-10,11006.17
411,576,37,sale,pending,,,,,,
412,577,25,rental,closed,,5609.81,2022-05-13,2023-05-13,2022-04-30,4207.36
413,580,10,rental,pending,,,,,,
414,581,25,sale,pending,,,,,,
415,583,9,sale,closed,1312290.0,,,,2024-08-12,26245.8
416,586,70,sale,closed,1459128.0,,,,2024-04-07,36478.2
417,589,67,sale,closed,629356.0,,,,2021-08-21,12587.12
418,590,8,rental,pending,,,,,,
419,591,4,sale,closed,1475765.0,,,,2021-11-09,29515.3
420,592,43,sale,pending,,,,,,
421,593,71,rental,pending,,,,,,
422,594,31,sale,closed,988112.0,,,,2022-12-10,19762.24
423,595,5,rental,pending,,,,,,
424,597,6,rental,closed,,9319.9,2023-12-20,2024-12-19,2023-12-04,6989.92
425,598,45,sale,pending,,,,,,
426,599,30,rental,pending,,,,,,
427,600,69,rental,closed,,11719.81,2021-07-17,2022-07-17,2021-07-01,8789.86
428,601,3,rental,pending,,,,,,
429,602,49,sale,pending,,,,,,
430,607,2,sale,pending,,,,,,
431,608,8,rental,closed,,8362.37,2022-07-14,2023-07-14,2022-07-03,4181.19
432,609,41,rental,pending,,,,,,
433,610,51,rental,closed,,5179.57,2022-07-18,2024-07-17,2022-07-06,2589.78
