listing_id,property_id,agent_employee_id,listing_type,listing_price,listing_status,list_date,end_date
95,120,20,sale,1427775,closed,2021-10-07,2021-12-14
96,121,48,sale,1800416,cancelled,2021-01-09,2021-06-04
97,122,50,sale,1120686,closed,2023-05-02,2023-08-23
98,123,53,sale,1745483,closed,2024-08-05,2024-09-10
99,124,21,rent,6834,closed,2021-09-12,2022-02-21
100,125,45,rent,10378,pending,2023-06-13,
101,126,8,sale,1191695,cancelled,2023-09-28,2024-01-18
102,127,62,sale,959157,closed,2023-05-19,2023-08-07
103,128,4,sale,1084808,pending,2023-01-11,
104,130,59,sale,1205790,closed,2024-08-14,2025-02-02
105,131,21,rent,6623,pending,2021-10-29,
106,132,51,rent,11629,closed,2021-07-09,2021-11-02
107,133,55,sale,1961489,closed,2021-06-14,2021-08-19
108,134,65,sale,965165,closed,2023-05-25,2023-08-28
109,136,12,rent,14121,closed,2023-02-23,2023-06-26
110,137,45,sale,1024948,active,2024-03-18,
111,138,40,sale,2191241,closed,2022-07-05,2022-11-01
112,140,13,rent,9609,closed,2021-12-11,2021-12-29
113,142,56,rent,8314,closed,2023-05-06,2023-08-05
114,144,26,rent,7314,closed,2023-02-07,2023-03-31
115,145,28,rent,15580,closed,2023-10-27,2024-03-08
116,146,34,sale,978513,closed,2021-05-01,2021-07-07
117,148,14,rent,12436,closed,2023-04-18,2023-10-12
118,149,49,rent,9713,closed,2021-12-07,2022-01-15
119,150,31,sale,1238681,cancelled,2021-05-12,2021-10-26
120,151,35,sale,919057,pending,2021-07-26,
121,152,13,sale,1027817,closed,2021-01-15,2021-02-12
122,153,35,rent,13154,cancelled,2021-01-15,2021-06-15
123,154,55,sale,746829,closed,2023-08-28,2024-02-16
124,155,31,rent,14110,pending,2022-12-04,
125,156,46,sale,2554628,closed,2023-03-28,2023-04-29
126,157,18,rent,10197,closed,2021-07-25,2021-11-22
127,159,36,sale,2269059,active,2021-09-09,
128,160,61,sale,1406178,cancelled,2022-05-25,2022-11-17
129,161,3,sale,1771647,closed,2022-01-20,2022-04-30
130,162,57,sale,1424878,closed,2021-04-04,2021-07-14
131,164,11,sale,1143321,closed,2023-09-20,2024-03-12
132,165,13,sale,2465348,pending,2023-09-03,
133,166,67,sale,2470037,closed,2022-08-25,2022-10-18
134,167,64,rent,11002,active,2023-10-31,
135,168,71,sale,935929,pending,2022-09-10,
136,169,15,sale,1381995,cancelled,2023-08-15,2023-12-25
137,171,22,sale,1721877,closed,2024-01-13,2024-03-25
138,173,21,sale,609803,closed,2021-07-03,2021-07-28
139,174,29,rent,5001,cancelled,2022-10-31,2023-01-28
140,175,18,sale,940082,closed,2023-09-03,2023-10-22
141,178,43,sale,994079,closed,2024-07-21,2024-08-31
142,179,9,sale,1702298,active,2024-03-25,
143,180,49,rent,5971,active,2023-02-12,
144,181,30,sale,1139471,closed,2024-02-25,2024-07-03
145,182,12,sale,2376400,closed,2021-08-25,2021-10-10
146,183,15,sale,1166156,active,2024-04-27,
147,184,1,sale,2669362,closed,2021-09-18,2022-01-11
148,185,55,sale,726625,closed,2024-04-23,2024-08-18
149,186,17,sale,976560,pending,2023-01-18,
150,187,51,sale,2162306,closed,2024-05-17,2024-07-01
151,188,29,rent,10024,closed,2023-08-02,2023-11-03
152,189,19,sale,1465745,cancelled,2023-07-23,2023-10-21
153,190,40,rent,10159,active,2021-03-12,
154,192,62,sale,1753727,closed,2021-09-10,2022-02-21
155,194,8,sale,610453,closed,2022-03-18,2022-07-10
156,195,27,sale,1384422,pending,2022-11-14,
157,196,23,rent,5836,closed,2022-04-06,2022-05-07
158,197,3,rent,9615,closed,2023-03-14,2023-05-11
159,199,45,sale,2038753,cancelled,2022-11-23,2023-04-11
160,202,37,sale,607580,closed,2023-03-12,2023-06-10
161,203,71,sale,926222,pending,2022-02-04,
162,204,7,rent,6138,closed,2021-09-26,2022-03-11
163,205,18,rent,5489,closed,2022-09-15,2022-11-13
164,206,19,rent,3446,active,2023-09-16,
165,207,2,sale,1246106,active,2022-02-05,
166,208,19,sale,1344887,active,2024-03-24,
167,209,22,sale,581362,pending,2023-05-25,
168,212,23,sale,881814,cancelled,2021-07-16,2021-12-02
169,213,56,sale,1525536,closed,2021-08-29,2021-12-11
170,214,5,rent,11163,closed,2024-07-08,2024-09-26
171,215,23,sale,1214233,closed,2023-03-24,2023-09-10
172,216,60,sale,1418044,closed,2023-02-08,2023-03-20
173,217,57,rent,11811,active,2024-08-24,
174,218,63,rent,4546,closed,2021-09-03,2021-10-22
175,219,62,sale,1163915,closed,2023-11-10,2024-04-26
176,220,24,sale,982013,active,2021-07-13,
177,221,39,sale,2109239,pending,2024-08-13,
178,222,69,rent,8554,pending,2021-07-23,
179,223,68,sale,2307997,closed,2021-02-10,2021-07-15
180,224,16,rent,17863,closed,2023-11-29,2024-05-02
181,225,24,rent,12557,closed,2022-03-01,2022-04-18
182,227,58,sale,797962,pending,2022-01-04,
183,229,27,sale,1880572,closed,2021-09-09,2022-02-21
184,230,5,sale,1530466,pending,2021-06-29,
185,231,70,sale,2439440,closed,2021-09-13,2022-01-02
186,232,67,sale,1956159,closed,2021-01-01,2021-01-30
187,233,18,rent,6431,closed,2022-08-24,2023-01-02
188,235,69,sale,1446451,cancelled,2022-10-03,2023-01-19
189,236,6,sale,1463406,active,2021-07-22,
190,237,18,rent,14212,closed,2022-01-21,2022-04-04
191,238,36,sale,985465,active,2022-03-19,
192,239,33,rent,4259,closed,2024-06-28,2024-12-03
193,240,59,rent,5160,closed,2024-08-23,2024-12-21
194,241,69,rent,6579,closed,2022-06-05,2022-07-29
195,242,25,rent,7041,cancelled,2024-07-13,2025-01-09
196,243,66,rent,16802,active,2024-02-29,
197,244,56,rent,8680,closed,2023-05-10,2023-08-16
198,245,16,sale,715142,closed,2024-05-21,2024-08-16
199,246,43,sale,1586326,pending,2024-01-29,
200,247,19,sale,1228327,cancelled,2023-01-14,2023-04-11
201,249,49,rent,5484,closed,2022-04-08,2022-05-21
202,250,16,rent,10374,closed,2022-04-01,2022-05-15
203,251,63,sale,1666210,active,2022-09-20,
204,252,37,sale,1364323,active,2022-12-16,
205,253,22,sale,1546727,closed,2024-05-29,2024-06-28
206,254,69,sale,1583257,pending,2023-03-09,
207,255,34,rent,4724,closed,2023-04-05,2023-05-25
208,256,19,sale,971950,cancelled,2023-11-18,2024-01-07
209,258,32,rent,4369,closed,2022-07-02,2022-10-22
210,259,24,sale,758383,pending,2023-05-07,
211,260,37,rent,4139,closed,2022-12-26,2023-05-21
212,261,30,rent,7300,pending,2023-05-27,
213,262,41,rent,10635,closed,2021-06-28,2021-10-28
214,263,31,rent,8145,pending,2024-07-23,
215,264,37,rent,17284,closed,2021-12-05,2022-01-13
216,265,55,rent,21546,closed,2023-10-07,2023-10-27
217,266,66,rent,5423,active,2021-10-07,
218,267,52,rent,7704,active,2023-12-27,
219,268,55,rent,15771,closed,2022-01-25,2022-02-13
220,269,68,sale,768345,active,2022-12-08,
221,270,68,rent,12482,cancelled,2021-03-28,2021-05-28
222,271,18,rent,6166,active,2021-12-25,
223,272,49,sale,1034166,pending,2021-04-15,
224,273,32,sale,1528361,pending,2021-08-20,
225,274,38,rent,7861,cancelled,2021-08-30,2022-01-18
226,276,51,sale,1741044,active,2021-01-05,
227,277,66,sale,1451706,active,2022-09-17,
228,280,63,sale,1094259,active,2021-03-14,
229,281,39,rent,6623,closed,2021-01-13,2021-04-25
230,282,52,sale,1135699,closed,2021-01-11,2021-03-17
231,283,11,sale,1094371,closed,2021-07-27,2021-10-03
232,284,1,sale,1105263,closed,2021-11-11,2022-04-02
233,285,51,rent,14409,pending,2022-05-28,
234,287,69,rent,8637,cancelled,2023-01-17,2023-03-22
235,288,21,rent,9448,closed,2021-08-11,2021-12-19
236,289,15,sale,2205009,closed,2023-06-08,2023-08-15
237,290,54,rent,8010,pending,2021-03-24,
238,292,62,sale,836612,closed,2021-03-06,2021-05-13
239,293,63,rent,5346,active,2022-06-29,
240,294,65,sale,1269440,closed,2021-09-18,2022-01-16
241,295,14,sale,830173,active,2023-03-08,
242,297,2,rent,5167,closed,2021-09-16,2022-02-09
243,298,44,sale,1111637,pending,2022-04-30,
244,299,62,sale,1102206,closed,2024-05-07,2024-09-13
245,300,32,sale,2445619,closed,2023-09-23,2024-01-28
246,301,15,sale,1248181,closed,2023-11-14,2024-02-11
247,303,26,rent,3563,closed,2022-05-22,2022-09-26
248,305,65,sale,1121592,active,2021-07-31,
249,306,20,sale,1533866,closed,2022-01-22,2022-07-10
250,307,25,rent,6629,closed,2021-09-28,2021-12-25
251,308,12,sale,1768819,cancelled,2023-05-24,2023-08-01
252,309,30,sale,1781904,closed,2023-02-18,2023-05-25
253,310,66,sale,529599,pending,2023-05-23,
254,313,35,rent,7146,active,2021-04-16,
255,314,41,rent,9728,closed,2022-12-20,2023-03-11
256,315,42,sale,2384634,closed,2022-01-08,2022-02-08
257,316,13,rent,10576,active,2023-08-25,
258,317,47,sale,952965,active,2022-06-01,
259,318,71,rent,4683,closed,2021-08-17,2021-09-07
260,319,47,sale,1563279,pending,2021-09-24,
261,320,48,sale,1034630,pending,2024-04-21,
262,321,12,sale,2329260,closed,2022-07-20,2022-11-13
263,322,16,rent,13149,pending,2021-09-25,
264,323,25,rent,5876,active,2024-09-02,
265,324,44,sale,1165146,closed,2021-07-22,2021-12-26
266,325,69,sale,889358,closed,2023-08-30,2023-11-07
267,327,71,rent,5059,closed,2021-03-31,2021-08-03
268,328,58,sale,1672791,closed,2024-02-22,2024-06-12
269,329,62,sale,1462507,closed,2021-08-29,2021-10-03
270,330,22,sale,987398,active,2023-10-29,
271,331,8,rent,9149,closed,2021-09-22,2022-03-03
272,332,51,sale,1205726,active,2022-01-25,
273,333,10,rent,9193,pending,2023-12-27,
274,334,52,sale,1844027,closed,2023-11-10,2024-03-06
275,335,28,sale,1329168,closed,2022-02-28,2022-04-27
276,336,66,sale,2195651,pending,2021-01-19,
277,337,29,sale,1206932,active,2023-12-12,
278,338,29,rent,12079,closed,2022-07-04,2022-09-03
279,340,19,rent,4464,pending,2022-05-03,
280,341,7,rent,5731,closed,2022-07-23,2022-10-18
281,342,27,sale,1240599,pending,2022-05-25,
282,343,48,rent,12089,closed,2021-01-03,2021-07-01
283,344,53,sale,1288946,closed,2024-01-30,2024-03-22
284,346,2,rent,6188,closed,2022-08-27,2022-09-28
285,347,23,rent,6432,closed,2022-03-26,2022-06-23
286,348,14,sale,1451076,pending,2021-02-02,
287,349,71,rent,5611,closed,2023-02-22,2023-05-16
288,351,35,sale,929752,pending,2023-06-25,
289,352,20,rent,6228,cancelled,2024-07-13,2024-11-09
290,354,12,sale,1115864,closed,2023-06-08,2023-10-26
291,355,25,sale,833450,closed,2023-07-30,2023-10-01
292,356,40,sale,1519141,closed,2022-01-05,2022-01-28
293,357,25,sale,2024180,active,2021-12-30,
294,358,59,sale,1070296,active,2021-05-28,
295,359,18,rent,5739,closed,2023-04-05,2023-09-04
296,360,50,sale,2087826,closed,2021-01-25,2021-05-19
297,361,17,rent,11728,closed,2021-01-28,2021-02-26
298,363,2,sale,1267290,closed,2021-06-21,2021-12-16
299,364,14,sale,1568775,pending,2021-01-20,
300,365,26,sale,2871079,closed,2022-11-25,2023-01-03
301,366,40,sale,800527,cancelled,2024-02-27,2024-04-26
302,367,35,sale,448722,closed,2021-11-13,2022-04-19
303,368,14,sale,806533,closed,2021-09-10,2021-10-09
304,369,19,rent,5595,closed,2021-07-30,2021-12-01
305,370,50,sale,1689753,closed,2022-04-05,2022-08-10
306,371,15,sale,1188549,cancelled,2022-08-11,2022-12-05
307,372,46,rent,11376,closed,2021-08-14,2021-11-12
308,373,6,rent,6672,closed,2022-11-15,2022-12-24
309,374,43,sale,1821620,pending,2021-12-31,
310,375,39,rent,5987,pending,2023-05-21,
311,376,35,sale,2096361,closed,2022-08-11,2022-09-24
312,377,1,sale,1207659,closed,2023-01-26,2023-03-04
313,379,19,rent,7269,active,2021-11-01,
314,380,62,rent,7050,pending,2023-03-11,
315,381,36,rent,8306,active,2021-08-20,
316,382,50,sale,1738405,cancelled,2022-10-24,2022-12-27
317,383,53,rent,4659,active,2023-10-10,
318,384,32,sale,1072225,pending,2024-07-27,
319,386,64,sale,839477,closed,2024-01-31,2024-07-03
320,387,54,sale,1385602,pending,2022-04-17,
321,390,31,sale,2821661,pending,2022-03-26,
322,391,47,rent,18218,closed,2022-02-21,2022-03-15
323,392,45,sale,484695,closed,2021-10-01,2021-11-03
324,393,19,sale,1899950,active,2021-10-13,
325,394,54,sale,2459634,active,2024-02-04,
326,395,16,sale,915812,cancelled,2022-04-05,2022-05-28
327,397,4,sale,1611076,active,2021-10-21,
328,398,14,sale,2630506,active,2023-05-20,
329,400,21,rent,15090,closed,2021-06-01,2021-11-18
330,402,10,rent,12066,cancelled,2023-01-19,2023-04-09
331,403,61,rent,4330,closed,2023-05-03,2023-07-06
332,405,61,sale,2458699,closed,2023-12-17,2024-03-20
333,406,37,rent,4494,closed,2022-11-22,2022-12-13
334,407,23,sale,1231529,cancelled,2021-05-03,2021-05-29
335,408,59,rent,14451,cancelled,2021-01-23,2021-05-29
336,409,65,sale,1298928,active,2022-06-13,
337,410,35,sale,995780,cancelled,2022-04-11,2022-06-08
338,411,28,rent,14913,closed,2023-12-05,2024-01-24
339,413,72,rent,11199,closed,2021-04-25,2021-06-29
340,414,62,sale,1434360,cancelled,2021-06-08,2021-10-23
341,416,49,sale,1437204,pending,2024-08-07,
342,417,25,sale,1944545,pending,2023-01-31,
343,418,43,rent,5808,closed,2021-08-02,2022-01-21
344,419,14,rent,8987,active,2022-08-01,
345,421,40,sale,1014921,active,2024-05-07,
346,422,5,sale,1642805,pending,2022-02-18,
347,423,6,sale,1064431,closed,2021-06-24,2021-12-03
348,424,12,sale,1568003,closed,2023-09-18,2023-12-25
349,425,51,sale,959444,closed,2021-01-18,2021-04-18
350,426,17,sale,2057052,closed,2022-10-07,2023-01-24
351,427,65,sale,1856053,pending,2021-07-19,
352,428,62,sale,1198915,closed,2021-11-04,2022-02-27
353,429,60,sale,1162832,closed,2021-03-18,2021-05-13
354,431,30,sale,899659,active,2024-07-05,
355,433,65,rent,8015,closed,2024-09-01,2024-10-30
356,434,58,sale,726720,closed,2024-05-31,2024-09-13
357,435,56,sale,2172274,closed,2022-11-26,2023-05-22
358,436,10,sale,1763110,closed,2023-03-05,2023-08-26
359,438,64,rent,13654,active,2024-03-07,
360,439,71,sale,1727384,closed,2021-01-31,2021-05-08
361,440,41,sale,2380066,closed,2021-06-28,2021-11-09
362,441,36,sale,1635315,active,2022-08-29,
363,442,59,rent,4506,closed,2022-12-25,2023-02-26
364,444,57,rent,11326,active,2023-08-28,
365,445,63,rent,7305,closed,2021-10-15,2022-03-27
366,446,17,sale,2240166,closed,2022-08-11,2023-02-03
367,447,48,sale,1600200,cancelled,2023-11-16,2024-02-22
368,449,34,sale,1751738,active,2023-04-27,
369,450,8,sale,1290183,pending,2021-03-29,
370,451,2,sale,1979222,closed,2022-05-17,2022-10-25
371,452,21,rent,11233,pending,2021-08-04,
372,454,12,rent,12924,cancelled,2021-05-30,2021-10-13
373,455,14,sale,2979781,cancelled,2023-08-18,2024-01-02
374,456,56,sale,1301831,closed,2021-08-10,2021-12-07
375,457,44,rent,4079,active,2022-11-05,
376,458,61,rent,6514,pending,2023-09-23,
377,459,61,sale,1577288,cancelled,2023-07-20,2023-09-15
378,460,5,rent,7887,active,2022-03-14,
379,461,56,rent,12420,cancelled,2023-02-18,2023-06-08
380,462,55,sale,1659208,closed,2022-03-14,2022-04-06
381,463,9,rent,5995,closed,2024-07-25,2024-09-17
382,464,58,rent,6933,active,2021-06-17,
383,465,24,rent,7212,cancelled,2023-12-11,2024-03-04
384,467,55,sale,2457386,active,2021-07-09,
385,468,45,sale,1573794,pending,2022-09-01,
386,469,21,rent,7536,pending,2023-09-14,
387,470,50,rent,8340,closed,2023-06-14,2023-11-25
388,473,26,sale,2877158,closed,2024-02-23,2024-08-11
389,474,41,sale,1140422,closed,2024-03-30,2024-07-08
390,475,41,sale,1738395,closed,2023-07-29,2023-12-21
391,476,1,rent,6944,pending,2023-04-13,
392,477,13,rent,7802,active,2021-09-15,
393,479,70,sale,591932,pending,2022-01-20,
394,480,27,rent,8958,closed,2024-05-15,2024-08-30
395,481,47,sale,1553428,closed,2024-03-27,2024-07-17
396,482,64,sale,1159978,closed,2022-09-21,2022-11-09
397,483,46,sale,1256578,closed,2023-07-23,2023-11-08
398,485,15,sale,1010597,closed,2023-05-23,2023-09-03
399,487,23,sale,2143049,active,2023-07-29,
400,488,49,rent,6326,pending,2021-11-30,
401,489,13,rent,5212,closed,2023-06-15,2023-12-08
402,490,53,rent,7481,closed,2021-08-01,2021-08-23
403,491,57,sale,1826101,closed,2024-07-01,2024-08-13
404,492,28,sale,3005039,closed,2021-03-08,2021-07-11
405,494,26,rent,16441,closed,2023-07-21,2023-09-06
406,495,60,sale,1217865,pending,2021-09-12,
407,496,1,rent,11919,closed,2024-08-13,2024-12-10
408,497,34,rent,10740,closed,2022-04-04,2022-06-29
409,498,1,sale,2203207,active,2023-04-30,
410,501,20,rent,5320,cancelled,2023-04-30,2023-05-24
411,502,41,rent,4322,closed,2023-11-29,2024-05-18
412,503,72,rent,11221,closed,2024-03-17,2024-06-04
413,504,7,rent,7404,closed,2022-01-30,2022-05-28
414,505,50,sale,1234600,closed,2024-03-29,2024-09-25
415,506,67,rent,5793,closed,2021-12-22,2022-03-31
416,507,17,sale,808544,active,2022-04-19,
417,509,34,rent,12648,closed,2024-07-17,2024-11-12
418,510,12,sale,1202994,closed,2021-11-22,2022-01-31
419,511,20,rent,7086,closed,2023-06-15,2023-12-01
420,512,49,sale,1602676,closed,2024-01-19,2024-02-26
421,513,46,rent,9986,cancelled,2021-09-25,2022-03-24
422,515,25,sale,2010135,closed,2024-08-29,2024-12-01
423,516,34,rent,17941,cancelled,2022-05-18,2022-09-09
424,517,3,sale,490849,closed,2022-07-18,2022-09-10
425,518,59,sale,1518205,closed,2024-04-01,2024-05-17
426,519,34,rent,7658,closed,2021-09-09,2021-12-08
427,520,27,rent,6775,closed,2021-07-10,2021-10-28
428,521,53,sale,1555810,active,2023-10-03,
429,522,54,sale,1784503,active,2024-07-05,
430,523,21,rent,9561,closed,2022-10-05,2023-02-15
431,524,5,sale,1221238,closed,2021-01-21,2021-07-03
432,525,70,rent,7479,cancelled,2022-12-04,2023-04-24
433,527,25,rent,12041,closed,2023-12-05,2024-01-23
434,528,20,sale,1200421,closed,2024-01-03,2024-05-31
435,529,4,rent,4907,closed,2023-01-18,2023-04-01
436,531,17,sale,1569782,pending,2022-03-27,
437,532,45,sale,976935,closed,2023-09-14,2023-10-25
438,533,64,sale,1530230,pending,2024-08-28,
439,535,33,rent,5451,active,2023-03-31,
440,537,40,sale,827090,closed,2022-07-30,2022-09-12
441,538,63,sale,3110261,active,2022-02-26,
442,539,41,sale,2652523,cancelled,2023-07-03,2023-09-28
443,540,46,rent,4270,cancelled,2024-05-28,2024-08-05
444,541,22,sale,1096093,cancelled,2024-07-19,2024-11-29
445,542,38,sale,1870657,cancelled,2023-11-14,2024-03-15
446,543,46,rent,12408,closed,2024-08-14,2025-01-14
447,544,55,rent,5874,closed,2021-08-23,2021-12-01
448,545,28,rent,6878,active,2023-01-03,
449,546,41,rent,9491,active,2023-02-01,
450,547,28,sale,2008984,closed,2022-10-15,2023-01-25
451,548,9,sale,1736325,cancelled,2022-10-21,2023-03-31
452,549,28,sale,1488868,active,2024-05-17,
453,550,10,sale,997605,pending,2022-07-24,
454,551,41,sale,1974486,closed,2024-08-16,2024-12-23
455,552,64,sale,1727552,active,2022-02-10,
456,553,58,sale,1955879,cancelled,2022-07-17,2022-09-04
457,554,31,rent,14785,active,2022-11-01,
458,555,1,sale,2493908,active,2022-08-07,
459,556,52,sale,640797,active,2022-08-06,
460,557,6,sale,1582234,pending,2023-12-29,
461,559,54,rent,3882,closed,2021-02-03,2021-03-17
462,560,52,rent,15575,closed,2022-07-17,2022-10-31
463,561,51,sale,2305528,closed,2022-10-04,2022-11-03
464,562,48,sale,1122864,cancelled,2023-07-20,2023-09-07
465,563,7,rent,6923,pending,2021-07-30,
466,564,56,sale,982620,closed,2021-10-12,2022-01-20
467,565,48,rent,4768,pending,2021-06-30,
468,566,34,rent,4181,closed,2024-01-06,2024-02-06
469,567,39,rent,5946,pending,2021-03-30,
470,568,35,sale,1326380,closed,2022-11-06,2023-03-01
471,570,17,sale,1375801,cancelled,2021-10-10,2021-11-27
472,571,58,sale,1784500,cancelled,2021-10-31,2022-03-03
473,572,62,sale,945382,closed,2023-12-05,2024-05-18
474,573,62,sale,772292,pending,2022-07-29,
475,574,46,sale,947959,closed,2022-06-25,2022-08-03
476,575,10,sale,1938838,closed,2022-05-12,2022-07-21
477,576,2,sale,1625135,pending,2023-10-10,
478,577,25,rent,7348,active,2023-08-17,
479,580,68,sale,788373,active,2022-11-29,
480,581,59,rent,15419,cancelled,2022-10-04,2023-01-09
481,582,29,rent,7176,closed,2023-10-31,2023-12-21
482,583,66,rent,7604,closed,2023-03-01,2023-08-24
483,584,36,sale,1129343,pending,2023-03-31,
484,585,14,rent,7913,closed,2022-09-22,2023-03-06
485,587,31,rent,11151,active,2021-08-08,
486,589,61,rent,9998,closed,2023-08-02,2023-08-27
487,590,16,sale,1006563,pending,2023-07-17,
488,591,20,sale,870819,closed,2021-06-22,2021-09-02
489,592,57,sale,784063,closed,2023-06-02,2023-07-03
490,593,49,rent,7798,pending,2021-07-20,
491,594,52,rent,4345,cancelled,2023-05-16,2023-07-21
492,595,67,sale,1647803,closed,2022-07-20,2022-12-11
493,596,15,rent,6780,pending,2021-04-13,
494,597,35,sale,1262167,closed,2021-04-19,2021-10-01
495,598,52,rent,2644,closed,2023-12-26,2024-03-10
496,599,64,sale,806926,closed,2021-07-27,2021-10-21
497,600,37,rent,12328,pending,2022-02-21,
498,601,24,sale,2752794,cancelled,2022-08-13,2022-09-24
499,602,40,rent,7454,pending,2024-06-28,
500,604,22,rent,6883,closed,2022-05-04,2022-06-08
501,607,2,sale,1765195,active,2023-07-22,
502,608,23,sale,1110071,active,2023-05-27,
503,609,46,sale,1207597,cancelled,2021-06-07,2021-06-27
504,610,32,rent,5367,active,2024-04-09,
505,611,38,sale,781796,pending,2021-04-03,
506,612,19,sale,559771,pending,2023-12-12,
507,613,58,rent,7107,closed,2021-07-24,2021-11-04
508,614,63,sale,2949467,closed,2022-12-20,2023-03-13
509,615,39,sale,1678634,closed,2023-07-29,2023-11-14
510,616,62,sale,1018634,pending,2023-11-27,
