property_id,neighborhood_id,street_address,city,state,zip_code,property_type,square_feet,bedrooms,bathrooms,year_built
99,1,9167 Blevins Islands,New York,NY,10025,condo,961,1,2,1992
100,6,2103 Hebert Shoals,New York,NY,10463,condo,1755,3,1,1999
101,13,8634 James Estates,New York,NY,10003,townhouse,2709,4,2,1992
102,4,5938 Ritter Fort,New York,NY,10001,single-family home,3468,5,2,1956
103,5,5608 Kelsey Burg,New York,NY,11215,apartment,970,1,1,1972
104,17,2548 Natalie Mill,Jersey City,NJ,07302,townhouse,2662,4,2,1947
105,23,8327 Mary Lane,Bridgeport,CT,06606,single-family home,3419,5,4,2016
106,4,628 Scott Summit,New York,NY,10463,townhouse,2983,4,3,1953
107,12,2157 Omar Mission,New York,NY,11354,apartment,1460,2,3,1958
108,6,2722 Ross Ford,New York,NY,11201,condo,2300,4,2,1966
109,18,3901 Lawrence Crossing,Jersey City,NJ,07306,condo,1225,2,1,1988
110,10,7365 Tanya Parkways,New York,NY,10019,townhouse,3478,5,2,1978
111,20,7694 Frank Fords,Montclair,NJ,07042,condo,1313,2,1,1957
112,1,7228 Shelia Streets,New York,NY,10036,condo,1701,4,1,2008
113,18,8249 Brady Island,Jersey City,NJ,07310,condo,1600,3,1,1963
114,2,3281 Lee Course,New York,NY,11249,apartment,1600,3,3,1987
115,19,864 Woods Pass,Hoboken,NJ,07030,townhouse,2021,2,2,2021
116,12,8462 Sierra Brook,New York,NY,10011,co-op,1194,2,1,1946
117,20,7371 Norman Manor,Montclair,NJ,07042,single-family home,2767,3,5,2016
118,8,7401 Nixon Courts,New York,NY,10024,co-op,2015,4,3,1913
119,2,8234 Ward Inlet,New York,NY,10024,condo,1361,2,2,1940
120,16,6152 Ryan Vista,New York,NY,10019,single-family home,3318,5,4,1913
121,10,5503 Perez Squares,New York,NY,11249,townhouse,2662,3,3,1928
122,5,7750 Debra Valleys,New York,NY,10301,apartment,851,1,1,2016
123,17,7695 Liu Brook,Jersey City,NJ,07306,townhouse,2663,4,2,1988
124,2,4203 Blair Islands,New York,NY,10014,apartment,1133,2,2,2016
125,5,9985 Donald Gateway,New York,NY,11101,apartment,1452,2,1,1964
126,9,4944 Anne Crossroad,New York,NY,10011,condo,1602,2,2,1916
127,17,7499 Donald Mountains,Jersey City,NJ,07302,apartment,1355,2,2,1924
128,12,9786 Bruce Unions,New York,NY,11102,apartment,1439,2,1,1912
129,8,3973 Michelle Shore,New York,NY,10301,apartment,1760,3,1,1928
130,4,5790 Watson Mall,New York,NY,10019,co-op,1277,2,1,1983
131,19,1412 Robert Extensions,Hoboken,NJ,07030,apartment,1514,2,2,1918
132,6,8322 Judy Valleys,New York,NY,11249,apartment,1779,3,2,1974
133,20,7712 Michael Creek,Montclair,NJ,07042,single-family home,3685,5,3,1991
134,11,4165 Anthony Ford,New York,NY,11201,apartment,1552,3,3,1912
135,11,5659 Powell Landing,New York,NY,10019,apartment,1304,2,2,2003
136,2,9543 Howell Burgs,New York,NY,11201,single-family home,3115,4,3,2006
137,24,5782 Martin Mountains,West Hartford,CT,06119,apartment,1808,3,1,1953
138,10,7622 Jessica Divide,New York,NY,10301,duplex,2521,4,3,1971
139,5,2219 Williams Lane,New York,NY,10003,condo,1225,2,1,2001
140,17,615 Eric Bridge,Jersey City,NJ,07305,townhouse,2334,4,2,1935
141,4,5180 Prince Course,New York,NY,10022,townhouse,2671,3,2,1975
142,12,8907 Mcneil Creek,New York,NY,10038,apartment,1733,3,2,1942
143,18,4697 Marshall Mall,Jersey City,NJ,07305,single-family home,3506,5,3,2020
144,14,5448 Taylor Rapids,New York,NY,10021,single-family home,2576,3,2,1925
145,21,6563 Larry Mountains,Stamford,CT,06905,single-family home,4141,6,4,1966
146,21,5564 Anderson Shoals,Stamford,CT,06901,co-op,1460,2,1,1973
147,11,8517 Krueger Skyway,New York,NY,10021,townhouse,2300,3,2,2012
148,4,7065 Tim Summit,New York,NY,11354,condo,1860,4,2,2015
149,4,5272 David Passage,New York,NY,10011,apartment,1711,3,1,1920
150,19,5031 Linda Divide,Hoboken,NJ,07030,apartment,1784,3,1,1987
151,23,7282 Donna Summit,Bridgeport,CT,06605,townhouse,2671,3,2,1967
152,4,7136 Jennifer Haven,New York,NY,10021,co-op,847,1,2,1991
153,19,1239 John Glen,Hoboken,NJ,07030,single-family home,3467,5,2,1956
154,8,2631 Jessica Hollow,New York,NY,10001,condo,904,0,1,1928
155,1,7189 Page Mountain,New York,NY,10002,single-family home,2824,3,3,1926
156,8,6011 Wolf Curve,New York,NY,10024,single-family home,3631,6,3,1959
157,21,9923 Henderson Shore,Stamford,CT,06901,duplex,3012,5,4,1996
158,2,6105 Beth Vista,New York,NY,10036,apartment,1755,4,1,2007
159,18,6022 Julie Union,Jersey City,NJ,07306,single-family home,3135,5,5,1950
160,1,1868 Welch Underpass,New York,NY,10001,condo,1605,3,2,2004
161,7,6350 Tiffany Bridge,New York,NY,11102,townhouse,2676,3,2,1925
162,18,7321 Cynthia Village,Jersey City,NJ,07304,apartment,1826,3,2,1988
163,13,3289 Fernando Islands,New York,NY,10011,townhouse,3131,5,3,1927
164,18,2838 Ashley Orchard,Jersey City,NJ,07306,condo,1643,3,1,1921
165,5,5246 Lopez Ways,New York,NY,10463,co-op,2021,4,3,1954
166,4,8892 Hayes Forest,New York,NY,10022,duplex,2395,5,3,1948
167,19,2862 Howell Plains,Hoboken,NJ,07030,townhouse,3249,4,2,1975
168,16,2285 Wilson Harbors,New York,NY,10019,condo,1899,4,1,2011
169,11,9087 Rogers Ferry,New York,NY,11105,townhouse,2656,4,3,1957
170,14,2136 Peterson Well,New York,NY,11354,co-op,912,1,2,2023
171,11,7852 Ingram Motorway,New York,NY,11101,townhouse,3441,5,2,1962
172,20,9429 Elizabeth Junctions,Montclair,NJ,07042,single-family home,3922,6,3,1926
173,11,1225 Brown Lakes,New York,NY,10036,condo,1034,1,2,1969
174,13,2112 May Plains,New York,NY,11215,co-op,1281,2,1,1980
175,1,2124 Cody Mount,New York,NY,10028,condo,821,1,2,1974
176,21,2044 David Station,Stamford,CT,06905,single-family home,2961,3,4,1929
177,7,5296 Martinez Key,New York,NY,10301,single-family home,3765,6,2,1938
178,24,4663 Chavez Plaza,West Hartford,CT,06107,condo,1754,3,1,1942
179,8,4506 Tammy Parkways,New York,NY,10012,apartment,1941,4,2,1990
180,2,1540 Raymond Pass,New York,NY,11101,apartment,875,1,2,1992
181,6,2536 Donald Springs,New York,NY,10013,apartment,971,1,1,1994
182,6,5541 Kimberly Flat,New York,NY,11105,single-family home,2924,3,3,1915
183,5,1340 Fox Tunnel,New York,NY,10002,apartment,916,1,1,1992
184,4,3463 Anna Pines,New York,NY,11215,single-family home,2847,3,3,1983
185,21,506 Lauren Lake,Stamford,CT,06902,apartment,1060,1,2,2023
186,19,4959 Heather Pines,Hoboken,NJ,07030,apartment,1059,2,2,1941
187,3,6663 Nicholas Courts,New York,NY,10022,townhouse,2522,3,3,1968
188,7,7212 Cynthia Walks,New York,NY,10028,single-family home,2283,2,3,1971
189,11,9949 Megan Terrace,New York,NY,10012,townhouse,2926,4,3,1950
190,7,5668 Amber Ridge,New York,NY,10025,co-op,1691,3,3,1926
191,21,9212 Garrison Harbors,Stamford,CT,06901,condo,972,1,2,1950
192,11,4392 Susan Locks,New York,NY,10036,single-family home,3543,4,4,1941
193,9,4764 Price Pike,New York,NY,10025,condo,1275,2,2,2020
194,23,2626 English Mountain,Bridgeport,CT,06605,apartment,1268,2,2,1983
195,11,2620 Taylor Hills,New York,NY,10038,townhouse,2864,3,3,1975
196,3,8158 Charles Station,New York,NY,10001,co-op,816,1,1,1921
197,4,7501 Clark Street,New York,NY,10019,apartment,1485,3,1,1937
198,9,838 Brian Loop,New York,NY,10022,single-family home,3157,4,2,1973
199,12,7720 Douglas View,New York,NY,10022,single-family home,3113,5,2,1978
200,4,2204 Kathy Valley,New York,NY,10021,single-family home,2977,3,3,2003
201,1,6005 Peter Estate,New York,NY,10002,single-family home,3234,5,3,1961
202,11,5949 Myers Fields,New York,NY,11102,condo,1044,1,2,1946
203,22,9018 Mary Cliffs,Greenwich,CT,06831,apartment,1020,1,1,2015
204,11,1956 Tabitha Harbor,New York,NY,10012,condo,1613,3,1,1922
205,11,5565 Patricia Crossing,New York,NY,11102,condo,1236,2,3,1956
206,20,9880 Jamie Divide,Montclair,NJ,07043,apartment,1174,0,1,1974
207,8,5466 Hodges Branch,New York,NY,11249,co-op,1381,2,3,1970
208,1,9942 Abigail Pine,New York,NY,11101,apartment,1859,2,2,1927
209,20,5228 Kelsey Rapid,Montclair,NJ,07042,apartment,900,0,2,1960
210,14,4912 Hall Mill,New York,NY,11105,condo,1026,1,1,1953
211,19,8731 Short Plains,Hoboken,NJ,07030,condo,1537,3,1,2000
212,16,282 Hernandez Throughway,New York,NY,10024,co-op,2076,4,1,1952
213,2,9573 Hutchinson Canyon,New York,NY,10022,apartment,1539,3,2,2011
214,8,446 Massey Glens,New York,NY,11354,apartment,2074,4,2,1970
215,22,9487 Courtney Meadow,Greenwich,CT,06830,apartment,1431,2,2,2002
216,23,8599 Nancy Square,Bridgeport,CT,06606,single-family home,3281,5,3,2002
217,6,6239 Blake Fork,New York,NY,10012,duplex,2330,2,3,2015
218,24,9390 Christopher Street,West Hartford,CT,06119,condo,1516,2,1,1924
219,10,5149 Allen Vista,New York,NY,10028,apartment,1399,2,2,1929
220,1,6733 Copeland Meadows,New York,NY,11101,apartment,953,1,2,2009
221,3,1030 Brown Cove,New York,NY,10301,duplex,2335,3,3,1927
222,15,5335 Kirby Street,New York,NY,10463,single-family home,2976,5,3,1971
223,22,2847 Conway Route,Greenwich,CT,06831,single-family home,3153,5,2,1978
224,9,4341 Barnes Villages,New York,NY,11354,single-family home,4154,6,5,1971
225,7,4581 Bird Corner,New York,NY,11102,townhouse,2423,3,2,1948
226,10,4745 Craig Valley,New York,NY,10301,single-family home,2525,3,4,1936
227,12,5204 Sanchez Park,New York,NY,10038,condo,1118,2,1,1954
228,3,4490 Brittany Shores,New York,NY,10022,apartment,1588,2,3,1925
229,8,6230 Garcia Tunnel,New York,NY,10025,townhouse,2878,4,4,2014
230,15,2409 Castro Villages,New York,NY,10022,single-family home,3430,4,3,1915
231,1,1304 Obrien Ways,New York,NY,10024,single-family home,3106,5,2,1966
232,2,7859 Williams Coves,New York,NY,10014,duplex,2958,3,2,1935
233,13,9218 Barbara Crest,New York,NY,10301,townhouse,2050,2,3,1944
234,3,9624 Michael Spring,New York,NY,10019,co-op,990,1,3,1941
235,19,3824 Ochoa Stravenue,Hoboken,NJ,07030,duplex,1922,3,4,1922
236,1,7749 Michael Turnpike,New York,NY,10011,apartment,1519,3,2,1997
237,5,9026 Phelps Ports,New York,NY,10013,townhouse,2778,3,3,1962
238,19,7832 Shelby Via,Hoboken,NJ,07030,condo,1244,2,1,2006
239,19,4686 Caldwell Burg,Hoboken,NJ,07030,condo,767,1,1,2008
240,20,8777 Ashley Burg,Montclair,NJ,07042,apartment,913,2,2,1932
241,19,2890 Garcia Loop,Hoboken,NJ,07030,condo,1336,2,1,2017
242,12,3062 Jessica Vista,New York,NY,11201,apartment,1372,2,2,2021
243,3,161 Howard Springs,New York,NY,10022,townhouse,3024,5,3,1982
244,10,4672 Gomez Gateway,New York,NY,10036,apartment,1333,2,3,1992
245,15,2208 Griffin Causeway,New York,NY,11101,apartment,1472,2,2,1969
246,19,1855 Ellis Roads,Hoboken,NJ,07030,townhouse,2466,3,2,1930
247,2,4225 Mack Estates,New York,NY,10301,condo,1232,2,2,1933
248,9,4843 Angela Way,New York,NY,11105,apartment,1008,1,2,1996
249,1,6653 Yang Terrace,New York,NY,10028,condo,767,1,3,1975
250,11,1572 Norman Extensions,New York,NY,10013,townhouse,3170,5,2,1927
251,21,121 Gates Isle,Stamford,CT,06902,duplex,2595,5,3,1959
252,18,4384 Jensen Streets,Jersey City,NJ,07305,co-op,1878,3,2,1948
253,17,197 Leslie Inlet,Jersey City,NJ,07305,single-family home,3112,3,4,1993
254,10,1027 Robin Course,New York,NY,10463,condo,1989,4,1,1925
255,20,6652 Edwards Parks,Montclair,NJ,07043,condo,1055,2,1,1998
256,1,3628 Katherine Flats,New York,NY,10019,apartment,1086,0,3,1927
257,23,9934 Chase Oval,Bridgeport,CT,06605,condo,1785,3,1,1963
258,23,8816 Rogers Mill,Bridgeport,CT,06606,condo,1721,3,1,2015
259,24,9771 Fischer Extension,West Hartford,CT,06107,apartment,1207,2,2,1977
260,23,5937 Smith Field,Bridgeport,CT,06604,apartment,1360,2,1,1982
261,7,8291 Stout Squares,New York,NY,10014,co-op,1267,2,1,1983
262,18,5385 Sherman Plain,Jersey City,NJ,07310,single-family home,2485,3,3,1966
263,2,9564 Raymond Square,New York,NY,10038,apartment,1572,3,2,1921
264,1,921 James Course,New York,NY,10036,single-family home,3540,6,2,1926
265,5,9249 Phelps Drive,New York,NY,10002,single-family home,3203,6,3,1981
266,1,5059 Patel Locks,New York,NY,11201,co-op,1164,0,2,1912
267,7,59 Samantha Cove,New York,NY,11201,apartment,1315,2,1,1937
268,6,6951 Austin Corner,New York,NY,10024,townhouse,2637,3,4,1999
269,9,7744 Key Mills,New York,NY,10002,co-op,1040,1,2,1946
270,5,2228 John Drives,New York,NY,11215,apartment,1705,3,3,1992
271,2,6897 Johnson Fork,New York,NY,10024,condo,903,2,3,1958
272,8,6164 John Fork,New York,NY,10003,condo,1257,2,1,1997
273,13,2188 Wong Forge,New York,NY,11375,single-family home,3280,5,2,2020
274,8,8812 Alexander Gardens,New York,NY,10025,condo,1542,3,1,1977
275,1,66 Meredith Orchard,New York,NY,11215,condo,1455,3,1,1912
276,21,8930 Perry Plaza,Stamford,CT,06902,single-family home,3001,3,3,1978
277,9,4065 Robert Vista,New York,NY,10036,apartment,1776,3,2,1954
278,9,1858 Burton Loaf,New York,NY,10002,apartment,1713,3,1,2013
279,16,266 Mann Lakes,New York,NY,10019,apartment,1105,1,3,1936
280,21,7324 Reynolds Lakes,Stamford,CT,06905,condo,1566,2,2,1996
281,9,4019 Luke Knolls,New York,NY,11201,condo,1257,2,2,1915
282,23,8853 Susan Dale,Bridgeport,CT,06604,townhouse,2916,4,3,2006
283,18,2305 Heath Squares,Jersey City,NJ,07310,apartment,1506,3,1,1947
284,18,9448 Laura Prairie,Jersey City,NJ,07305,apartment,1545,3,1,1983
285,3,5263 Colin Tunnel,New York,NY,10019,duplex,2924,4,4,1948
286,13,8550 Nichols Cove,New York,NY,10019,townhouse,2560,4,3,1962
287,10,9131 Jennifer Stravenue,New York,NY,11105,apartment,1492,3,1,2022
288,14,7009 Steven Ports,New York,NY,11102,single-family home,2996,3,2,1973
289,3,6254 Steve Mill,New York,NY,11249,townhouse,2913,5,2,1977
290,11,6698 Garza Circles,New York,NY,10012,duplex,2679,3,3,1948
291,1,8823 Andrew Mission,New York,NY,10038,apartment,830,1,1,1940
292,12,2375 Paula Neck,New York,NY,11249,apartment,1247,1,2,1969
293,23,6771 Bryce Knoll,Bridgeport,CT,06605,apartment,1971,4,2,1981
294,2,3988 Stephanie Harbor,New York,NY,10021,apartment,1711,2,1,1936
295,22,7379 Valentine Stream,Greenwich,CT,06831,condo,1012,1,2,1921
296,17,3130 Jennifer Overpass,Jersey City,NJ,07302,single-family home,2916,5,4,1944
297,16,9888 Padilla Dale,New York,NY,10002,duplex,2168,3,2,2021
298,15,9636 Lewis Mission,New York,NY,11201,townhouse,2663,4,2,1995
299,17,3432 Ryan Spring,Jersey City,NJ,07305,condo,1517,3,2,1948
300,2,3480 Rivera Port,New York,NY,10014,single-family home,3601,6,3,2004
301,2,3984 Thomas Plains,New York,NY,10301,condo,1511,3,2,1987
302,6,3931 Huffman Ridge,New York,NY,11102,apartment,1499,2,3,1951
303,23,7649 Jennifer Knolls,Bridgeport,CT,06606,co-op,1008,2,1,1993
304,14,5902 Kim Cliffs,New York,NY,11101,condo,1102,1,1,2022
305,7,7702 Alyssa Stream,New York,NY,11215,apartment,1178,1,3,2017
306,21,6083 Jessica Gateway,Stamford,CT,06902,duplex,2042,4,4,1962
307,8,2400 Mary Burgs,New York,NY,10001,condo,1148,2,2,1943
308,3,9498 Chandler Isle,New York,NY,11201,townhouse,2510,2,3,1963
309,17,5414 Clinton Lodge,Jersey City,NJ,07304,townhouse,3207,4,4,1958
310,14,8190 Ballard Light,New York,NY,11102,apartment,979,0,1,1993
311,10,4226 Taylor Junctions,New York,NY,11215,townhouse,3088,5,2,2015
312,13,8047 Cody Knoll,New York,NY,10036,co-op,842,1,1,1931
313,2,2783 Jasmine Glen,New York,NY,10012,co-op,1464,2,1,2002
314,1,8892 Davis Green,New York,NY,11375,condo,1706,3,1,1917
315,7,1227 Gonzalez Keys,New York,NY,10463,townhouse,3449,5,4,1916
316,8,2262 Matthew Terrace,New York,NY,11375,townhouse,2666,3,2,1939
317,17,3593 Alexandria Brooks,Jersey City,NJ,07310,co-op,1166,2,3,1968
318,16,7926 Tina Circle,New York,NY,10463,condo,1812,3,2,1972
319,9,6749 Davis Alley,New York,NY,10001,duplex,2482,3,2,1912
320,9,8787 Adam Lights,New York,NY,10022,apartment,1320,2,2,1912
321,3,7064 Johnson Port,New York,NY,11249,townhouse,2846,5,3,1932
322,2,2449 Villarreal Extensions,New York,NY,10019,single-family home,2661,4,3,1934
323,15,5817 Dana Parks,New York,NY,10021,condo,1696,3,1,2011
324,3,6662 Amanda Key,New York,NY,10036,condo,1328,2,2,1982
325,9,3710 Monica Drives,New York,NY,10022,condo,1050,1,1,1997
326,4,529 Berry Mill,New York,NY,10003,apartment,1208,2,2,1961
327,21,7808 William Via,Stamford,CT,06901,co-op,1195,2,2,1991
328,13,8199 Johnson Camp,New York,NY,10028,single-family home,3120,4,3,1992
329,3,1572 Lindsay Inlet,New York,NY,11101,apartment,1380,2,2,1915
330,20,9296 Rodriguez Springs,Montclair,NJ,07043,apartment,1518,2,2,1944
331,20,4603 Brittany Expressway,Montclair,NJ,07042,single-family home,2913,3,5,1932
332,13,266 Tyler Rapids,New York,NY,10014,duplex,2032,4,3,1985
333,19,6535 Wendy Junction,Hoboken,NJ,07030,duplex,1958,2,4,1948
334,10,9294 Mcfarland Plaza,New York,NY,10025,townhouse,2451,3,2,1996
335,13,6298 Bowers Crescent,New York,NY,11215,single-family home,2942,4,3,2004
336,19,1294 Matthew Lakes,Hoboken,NJ,07030,single-family home,3079,4,3,1916
337,19,1255 John Viaduct,Hoboken,NJ,07030,co-op,1705,3,2,1987
338,9,6509 Lopez Lodge,New York,NY,11215,duplex,2963,4,3,1951
339,5,7391 Michael Neck,New York,NY,10038,townhouse,2852,4,2,1939
340,18,7085 Melanie Course,Jersey City,NJ,07304,co-op,894,1,2,1997
341,2,1414 Buck Port,New York,NY,11215,condo,913,1,1,1989
342,1,1214 Sherman Row,New York,NY,10003,condo,1134,2,2,1944
343,9,2537 Justin Dale,New York,NY,11201,single-family home,3240,3,3,1959
344,21,1509 Gallagher Highway,Stamford,CT,06901,co-op,2235,4,1,1949
345,2,4429 Powell Lane,New York,NY,10011,apartment,922,1,2,1926
346,23,9135 Tracy Overpass,Bridgeport,CT,06606,single-family home,2834,3,2,1975
347,3,1478 Marc Orchard,New York,NY,10024,apartment,879,1,2,1980
348,24,5325 Torres Turnpike,West Hartford,CT,06117,townhouse,2817,5,2,1911
349,9,1397 Townsend Square,New York,NY,11201,co-op,1141,1,1,1981
350,9,9380 Allison Canyon,New York,NY,11101,condo,1504,2,1,1931
351,8,2284 Stacey Inlet,New York,NY,10021,apartment,1194,1,3,1948
352,7,1046 Danielle Streets,New York,NY,10013,condo,1073,1,1,1965
353,4,7943 Amanda Causeway,New York,NY,11249,single-family home,3612,5,3,1919
354,2,8133 Cruz Knoll,New York,NY,11354,condo,1303,2,2,1988
355,24,2229 Madison Spur,West Hartford,CT,06117,apartment,1569,3,2,1910
356,9,6234 Rodgers Pine,New York,NY,11249,duplex,2050,3,3,2020
357,8,7065 William Springs,New York,NY,11375,townhouse,2635,3,3,1986
358,21,9893 Renee Courts,Stamford,CT,06905,apartment,1706,3,1,1935
